Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200
2011-03-18,APFT,0.565,0.6,0.545,0.55,0.55,31182500.0,0.0,0.0,0.55,0.55,0.0,0.0,0.0,,,0.55,0.55,0.55,0.55,0.55787,,,,,,55.77,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,19.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,31182500.0,0.0,0.0,3118250000.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,,,,,,,,0,0,0,,0,0,0
2011-03-21,APFT,0.55,0.55,0.525,0.525,0.525,1123600.0,0.0,0.0,0.54615,0.54815,-0.00199,-0.0004,-0.0016,,,0.54808,0.54902,0.5495,0.54975,0.57388,,,,0.525,,51.43,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,18.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,-0.0,-0.025,,,,,,,,,,,,,,,,-0.0073,-0.0142,-0.0167,-0.0094,-0.0069,-0.0025,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,0.0,31182500.0,1123600.0,0.0,3118250000.0,3.6,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2011-03-22,APFT,0.54,0.54,0.525,0.535,0.535,659100.0,0.0,0.0,0.54444,0.54717,-0.00274,-0.00087,-0.00187,-0.003,,0.54707,0.54847,0.54922,0.5496,0.59068,,,,,,47.12,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,17.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.01,0.0,,,,,,,,,,,,,,,,-0.0113,-0.0215,-0.0253,-0.014,-0.0102,-0.0038,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,31182500.0,1123600.0,659100.0,3118250000.0,3.6,2.04,0,0,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2011-03-23,APFT,0.54,0.63,0.54,0.595,0.595,12392400.0,0.0,0.0,0.55222,0.55072,0.0015,-0.00039,0.00189,,,0.55076,0.55029,0.55012,0.55006,0.60869,,,,,,42.77,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,16.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.06,0.0,,,,,,,,,,,,,,,,0.0023,0.0064,0.007,0.0047,0.0041,0.0006,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,1123600.0,659100.0,12392400.0,3.6,2.04,-57.0,1,0,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12392400.0,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
2011-03-24,APFT,0.605,0.645,0.595,0.635,0.635,5233200.0,0.0,0.0,0.56495,0.55696,0.00799,0.00128,0.00671,,,0.55724,0.55362,0.55181,0.5509,0.62806,,,,,,38.36,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,15.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.04,0.0,,,,,,,,,,,,,,,,0.0272,0.0543,0.0634,0.0362,0.0271,0.0091,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,659100.0,12392400.0,5233200.0,2.04,-57.0,28.99,1,1,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233200.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
2011-03-25,APFT,0.64,0.69,0.64,0.69,0.69,6029700.0,0.0,0.0,0.58419,0.56681,0.01738,0.0045,0.01287,,,0.56745,0.55896,0.55454,0.55229,0.64892,,,,,,33.92,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,14.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.055,0.0,,,,,,,,,,,,,,,,0.0667,0.1291,0.1516,0.0849,0.0624,0.0225,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,12392400.0,5233200.0,6029700.0,-57.0,28.99,29.37,1,1,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
2011-03-28,APFT,0.69,0.715,0.685,0.69,0.69,5840600.0,0.0,0.0,0.60047,0.57594,0.02453,0.00851,0.01602,,,0.57688,0.5641,0.55722,0.55366,0.6712,,,,,,29.47,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,13.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.0,0.0,,,,,,,,,,,,92.83626,,,,0.1044,0.1966,0.2322,0.1278,0.0922,0.0356,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,5233200.0,6029700.0,5840600.0,28.99,29.37,-27.7,1,1,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5840600.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
2011-03-29,APFT,0.69,0.705,0.67,0.69,0.69,2046200.0,0.0,0.0,0.61424,0.58439,0.02985,0.01278,0.01708,,,0.58558,0.56904,0.55985,0.55501,0.69437,,,,,,25.15,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,12.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.0,0.0,,,,,,,,,,,,90.85213,,,,0.1403,0.2573,0.3057,0.1654,0.117,0.0484,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,6029700.0,5840600.0,2046200.0,29.37,-27.7,-18.63,1,1,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
2011-03-30,APFT,0.7,0.75,0.69,0.72,0.72,5392800.0,0.0,0.0,0.63051,0.59443,0.03608,0.01744,0.01864,,,0.59592,0.57496,0.56302,0.55665,0.71782,,,,,,21.06,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,11.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.03,0.0,,,,,,,,,,,,84.40052,89.36297,,,0.1831,0.329,0.3927,0.2096,0.1459,0.0637,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,5840600.0,2046200.0,5392800.0,-27.7,-18.63,-4.58,1,1,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
2011-03-31,APFT,0.725,0.74,0.715,0.72,0.72,1464700.0,0.0,0.0,0.64428,0.60374,0.04055,0.02206,0.01849,,,0.60546,0.58065,0.56613,0.55828,0.74102,,,,,,17.27,-2.88,22.16,-12.32,0.22,-12.47,0.63,-12.66,10.0,8.0,16.0,14.0,2.0,29.0,4.0,18.0,0.0,0.0,,,,,,,,,,,,79.69557,84.98274,,,0.2237,0.3933,0.4718,0.2481,0.1696,0.0785,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.525,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-03-21,1999-01-01,1999-01-01,2046200.0,5392800.0,1464700.0,-18.63,-4.58,-32.95,1,1,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00087,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-03-22,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,,,,,,,,0,0,0,,0,0,0
