Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2014-11-10,1.07823,,,,,1.0795,1.0795,1.0795,1.0795,1.0795,1.0795,0.0,0.0,0.0,,,-0.39,0.09,-20.0,2.56,-1.13,5.28,-4.14,12.73,5.0,3.0,20.0,12.0,16.0,16.0,24.0,21.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,43004000,0.0,0.0,4300400000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2014-11-11,1.07602,,,,,1.07878,1.07913,1.07931,1.07941,1.07805,1.0788,-0.00075,-0.00015,-0.0006,,,-0.19,0.09,-20.0,2.56,-1.13,5.28,-4.14,12.73,4.0,3.0,20.0,12.0,16.0,16.0,24.0,21.0,-0.0,-0.0094,,,,,,,,,,,,,,,,-0.0028,-0.0053,-0.0063,-0.0035,-0.0025,-0.001,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,43004000,4075400,0.0,4300400000.0,9.48,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2014-11-12,1.07452,,,,,1.07811,1.07878,1.07913,1.07931,1.07683,1.07816,-0.00133,-0.00039,-0.00094,,,-0.05,0.09,-20.0,2.56,-1.13,5.28,-4.14,12.73,3.0,3.0,20.0,12.0,16.0,16.0,24.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0053,-0.0102,-0.012,-0.0067,-0.0049,-0.0018,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,43004000,4075400,1856100,4300400000.0,9.48,3.94,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1203900.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2014-11-13,1.07377,,,,,1.07749,1.07844,1.07895,1.07922,1.07579,1.07756,-0.00177,-0.00066,-0.00111,,,0.02,0.09,-20.0,2.56,-1.13,5.28,-4.14,12.73,2.0,3.0,20.0,12.0,16.0,16.0,24.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0078,-0.0146,-0.0173,-0.0095,-0.0068,-0.0027,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,4075400,1856100,1203900,9.48,3.94,-85.42,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10608000.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2014-11-14,1.07368,,,,,1.07692,1.07811,1.07878,1.07913,1.07492,1.07701,-0.00209,-0.00095,-0.00114,,,0.03,0.09,-20.0,2.56,-1.13,5.28,-4.14,12.73,1.0,3.0,20.0,12.0,16.0,16.0,24.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0102,-0.0186,-0.0221,-0.0119,-0.0084,-0.0035,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1856100,1203900,10608000,3.94,-85.42,91.55,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2014-11-17,1.07402,1.074,,,,1.07568,1.07743,1.07842,1.07895,1.07273,1.0758,-0.00307,-0.00137,-0.0017,,,0.09,-20.0,2.56,-1.13,5.28,-4.14,12.73,-8.37,3.0,20.0,12.0,16.0,16.0,24.0,21.0,40.0,-0.0,-0.0094,,,,,,,,,,,,,,,,-0.0152,-0.0274,-0.0327,-0.0175,-0.0122,-0.0053,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,1.074,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2014-11-17,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1203900,10608000,2117300,-85.42,91.55,1.91,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2014-11-18,1.07457,,,1.061,,1.07452,1.07677,1.07807,1.07877,1.07088,1.07468,-0.0038,-0.00186,-0.00194,-0.004,,0.04,-20.0,2.56,-1.13,5.28,-4.14,12.73,-8.37,2.0,20.0,12.0,16.0,16.0,24.0,21.0,40.0,0.0,0.0,,,,,,,,,,,,39.61469,,,,-0.02,-0.0355,-0.0425,-0.0225,-0.0155,-0.007,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,1.074,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2014-11-17,1999-01-01,1999-01-01,0.05,,,,,,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,10608000,2117300,1765100,91.55,1.91,4.03,0.0,0.0,0.0,-0.004,100.0,100.0,0.0,0.0,0.0,-0.00186,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,0,0,0,5800,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,3769400.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2014-11-19,1.07507,,,,1.108,1.07708,1.07798,1.07866,1.07905,1.07654,1.07713,-0.00058,-0.0016,0.00102,,,-0.01,-20.0,2.56,-1.13,5.28,-4.14,12.73,-8.37,1.0,20.0,12.0,16.0,16.0,24.0,21.0,40.0,0.047,0.0,,,,,,,,,,,,57.08487,,,,-0.0107,-0.0158,-0.0197,-0.009,-0.0051,-0.0039,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,1.074,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2014-11-17,1999-01-01,1999-01-01,0.1,,,,,,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.108,0.0,0.0,1.061,0.0,0.0,2014-11-19,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,2117300,1765100,3769400,1.91,4.03,-47.19,0.0,0.0,0.0,-0.004,100.0,100.0,0.0,0.0,0.0,-0.00186,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,0,0,0,5800,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5238600.0,,,,,p2n,n2p,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2014-11-20,1.07499,,1.075,,,1.07726,1.07804,1.07867,1.07906,1.077,1.0773,-0.0003,-0.00134,0.00104,,,-20.0,2.56,-1.13,5.28,-4.14,12.73,-8.37,0.44,20.0,12.0,16.0,16.0,24.0,21.0,40.0,4.0,-0.0,-0.0282,,,,,,,,,,,,57.11387,51.27114,,,-0.0102,-0.0141,-0.018,-0.0078,-0.0039,-0.0039,1,1,1,,,,,,,-0.15,,1.075,0.0,0.0,1.074,0.0,0.0,2014-11-20,1999-01-01,1999-01-01,2014-11-17,1999-01-01,1999-01-01,0.0,0.09,,,,,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.108,0.0,0.0,1.061,0.0,0.0,2014-11-19,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,1765100,3769400,5238600,4.03,-47.19,40.79,0.0,0.0,0.0,-0.004,100.0,100.0,0.0,0.0,0.0,-0.00186,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,0,0,0,5800,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,752500.0,,p2n,n2p,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2014-11-21,1.07358,,,,,1.07744,1.0781,1.07869,1.07906,1.07738,1.07747,-8e-05,-0.00109,0.00101,,,-19.89,2.56,-1.13,5.28,-4.14,12.73,-8.37,0.44,19.0,12.0,16.0,16.0,24.0,21.0,40.0,4.0,0.0,0.0,,,,,,,,,,,,57.14286,57.11387,,57.143,-0.0096,-0.0125,-0.0162,-0.0066,-0.0029,-0.0037,1,1,1,,,,,,,-0.15,,1.075,0.0,0.0,1.074,0.0,0.0,2014-11-20,1999-01-01,1999-01-01,2014-11-17,1999-01-01,1999-01-01,-0.13,0.09,,,,,1,3,0,0,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,1.108,0.0,0.0,1.061,0.0,0.0,2014-11-19,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,3769400,5238600,752500,-47.19,40.79,-9.4,0.0,0.0,0.0,-0.004,100.0,100.0,0.0,0.0,0.0,-0.00186,100.0,100.0,57.143,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2014-11-18,1999-01-01,1999-01-01,0,0,0,5800,0,0,2014-11-21,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,p2n,n2p,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
