Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2000-01-03,0.71511,,,,,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.0,0.0,0.0,,,5.3,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,13.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,27000.0,0.0,0.0,2700000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2000-01-04,0.72007,,,,0.77,0.71695,0.71477,0.71364,0.71308,0.72139,0.71678,0.00461,0.00092,0.00369,,0.005,4.57,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,12.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,0.0578,0.0,,,,,,,,,,,,,,,,0.0169,0.0331,0.0387,0.0218,0.0162,0.0056,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.77,0.0,0.0,0.0,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,27000.0,60000.0,0.0,2700000.0,222.21,0.005,0.0,0.0,100.0,100.0,100.0,0.00092,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2000-01-05,0.72439,,,0.724,,0.7175,0.71513,0.71385,0.71318,0.72181,0.71732,0.00449,0.00163,0.00285,0.004,,3.95,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,11.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,-0.0,-0.0462,,,,,,,,,,,,,,,,0.0195,0.0365,0.0432,0.0237,0.017,0.0067,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.77,0.0,0.0,0.724,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,27000.0,60000.0,3000.0,2700000.0,222.21,3.45,0.005,0.0,0.0,0.004,100.0,100.0,0.00092,0.0,0.0,0.00163,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2000-01-06,0.7279,,,,,0.7186,0.71579,0.71421,0.71337,0.72335,0.7184,0.00495,0.0023,0.00265,,,3.45,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,10.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,0.0077,0.0,,,,,,,,,,,,,,,,0.0242,0.0439,0.0523,0.0281,0.0197,0.0084,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.77,0.0,0.0,0.724,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,60000.0,3000.0,39000.0,222.21,3.45,13.33,0.005,0.0,0.0,0.004,100.0,100.0,0.00092,0.0,0.0,0.00163,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2000-01-11,0.73069,,,,0.74,0.7202,0.71672,0.71471,0.71363,0.72583,0.71996,0.00587,0.00301,0.00286,,,3.05,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,7.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,0.0077,0.0,,,,,,,,,,,,,,,,0.0309,0.0549,0.0657,0.0348,0.024,0.0108,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.74,0.77,0.0,0.724,0.0,0.0,2000-01-11,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,3000.0,39000.0,14000.0,3.45,13.33,-45.1,0.005,0.0,0.0,0.004,100.0,100.0,0.00092,0.0,0.0,0.00163,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,14000.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2000-01-12,0.73312,,,,,0.72139,0.71746,0.71512,0.71385,0.72733,0.72112,0.00622,0.00365,0.00256,,0.006,2.71,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,6.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,-0.0,-0.0039,,,,,,,,,,,,,,,,0.0361,0.0627,0.0754,0.0393,0.0266,0.0127,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.74,0.77,0.0,0.724,0.0,0.0,2000-01-11,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,39000.0,14000.0,28000.0,13.33,-45.1,44.64,0.006,0.005,0.0,0.004,100.0,100.0,0.00365,0.00092,0.0,0.00163,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-12,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-28000.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2000-01-13,0.7357,,,0.712,,0.72071,0.71726,0.71507,0.71384,0.72505,0.72048,0.00457,0.00384,0.00074,,,2.35,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,5.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,-0.0,-0.0231,,,,,,,,,,,,49.29558,,,,0.0342,0.0564,0.0687,0.0345,0.0222,0.0123,0,1,0,,,,0.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.74,0.77,0.0,0.712,0.724,0.0,2000-01-11,2000-01-04,1999-01-01,2000-01-13,2000-01-05,1999-01-01,14000.0,28000.0,15000.0,-45.1,44.64,-29.63,0.006,0.005,0.0,0.004,100.0,100.0,0.00365,0.00092,0.0,0.00163,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-12,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,-15000.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BullEnd,,
2000-01-14,0.73902,,,,,0.72037,0.71723,0.7151,0.71386,0.72372,0.72018,0.00354,0.00378,-0.00023,,,1.89,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,4.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,0.0039,0.0,,,,,,,,,,,,37.74822,,37.748,,0.0337,0.0527,0.0651,0.0314,0.019,0.0124,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.74,0.77,0.0,0.712,0.724,0.0,2000-01-11,2000-01-04,1999-01-01,2000-01-13,2000-01-05,1999-01-01,28000.0,15000.0,22000.0,44.64,-29.63,14.03,0.006,0.005,0.0,0.004,100.0,100.0,0.00365,0.00092,0.0,0.00163,100.0,100.0,0.0,0.0,0.0,37.748,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-12,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2000-01-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,22000.0,,,,,p2n,n2p,p2n,n2p,Life.Empty,Life.BearStart,Life.Bull,Life.BullEnd,Life.BearStart,,
2000-01-17,0.74318,,,,,0.72155,0.71795,0.7155,0.71408,0.72555,0.72132,0.00423,0.00387,0.00036,0.004,,1.32,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,3.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,0.0192,0.0,,,,,,,,,,,,38.47238,41.83873,,,0.0387,0.0605,0.0747,0.036,0.0218,0.0142,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.74,0.77,0.0,0.712,0.724,0.0,2000-01-11,2000-01-04,1999-01-01,2000-01-13,2000-01-05,1999-01-01,15000.0,22000.0,70000.0,-29.63,14.03,64.61,0.006,0.005,0.0,0.004,0.004,100.0,0.00365,0.00092,0.0,0.00387,0.00163,100.0,0.0,0.0,0.0,37.748,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-12,2000-01-04,1999-01-01,2000-01-17,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2000-01-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,70000.0,,,p2n,n2p,p2n,n2p,p2p,Life.BearStart,Life.Bull,Life.BullEnd,Life.BearStart,Life.Bull,,
2000-01-18,0.74767,,,,0.766,0.725,0.71985,0.71651,0.7146,0.73183,0.72466,0.00717,0.00453,0.00264,,,0.71,-2.79,37.98,-18.51,11.91,-16.07,3.36,-25.78,2.0,6.0,17.0,12.0,15.0,19.0,11.0,32.0,0.0308,0.0,,,,,,,,,,,,56.81351,44.34471,,,0.0525,0.0849,0.104,0.0515,0.0324,0.0191,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.766,0.74,0.77,0.712,0.724,0.0,2000-01-18,2000-01-11,2000-01-04,2000-01-13,2000-01-05,1999-01-01,22000.0,70000.0,87000.0,14.03,64.61,67.29,0.006,0.005,0.0,0.004,0.004,100.0,0.00365,0.00092,0.0,0.00387,0.00163,100.0,0.0,0.0,0.0,37.748,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-12,2000-01-04,1999-01-01,2000-01-17,2000-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2000-01-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,p2n,n2p,p2n,n2p,p2p,Life.BearStart,Life.Bull,Life.BullEnd,Life.BearStart,Life.Bull,,
