Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,ATR,atr_troughs,atr_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2010-11-03,0.63026,,,,,0.6232,0.6232,0.6232,0.6232,0.6232,0.6232,0.0,0.0,0.0,,,22.01,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,11.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,,,,,,,,,,,,,,,,,,0.0429,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,50744600.0,0.0,0.0,5074460000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2010-11-04,0.64538,,,,,0.62246,0.62282,0.62301,0.6231,0.62172,0.62249,-0.00077,-0.00015,-0.00061,,,19.15,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,10.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,-0.0,-0.0096,,,,,,,,,,,,,,,,0.04119,,,-0.0028,-0.0055,-0.0064,-0.0036,-0.0027,-0.0009,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,50744600.0,4975500.0,0.0,5074460000.0,9.8,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2010-11-08,0.66295,,,0.614,,0.62178,0.62246,0.62282,0.62301,0.62047,0.62183,-0.00136,-0.00039,-0.00096,-0.001,,16.0,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,8.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,0.03995,,,-0.0055,-0.0104,-0.0123,-0.0068,-0.0049,-0.0019,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,50744600.0,4975500.0,4090100.0,5074460000.0,9.8,7.34,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2010-11-09,0.68312,,,,,0.62262,0.62286,0.62302,0.62311,0.62235,0.62264,-0.00028,-0.00037,9e-05,,,12.57,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,7.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,0.0191,0.0,,,,,,,,,,,,,,,,0.03812,0.038,,-0.0025,-0.004,-0.0049,-0.0024,-0.0015,-0.0009,1.0,1.0,1.0,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,4975500.0,4090100.0,2600000.0,9.8,7.34,-80.5,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,2600000,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2010-11-10,0.70506,,,,,0.62925,0.62623,0.62472,0.62396,0.63565,0.62902,0.00664,0.00103,0.00561,,,9.07,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,6.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,0.0761,0.0,,,,,,,,,,,,,,,,0.04389,,,0.0227,0.0453,0.0529,0.0302,0.0226,0.0076,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,4090100.0,2600000.0,33736600.0,7.34,-80.5,246.55,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33736600,,,,,,,p2n,n2p,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bull,,
2010-11-11,0.72685,,,,,0.63647,0.63003,0.62667,0.62495,0.64911,0.63599,0.01312,0.00345,0.00967,,,5.8,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,5.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,0.0143,0.0,,,,,,,,,,,,,,,,0.04449,,,0.0508,0.098,0.1152,0.0644,0.0472,0.0172,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,2600000.0,33736600.0,9705600.0,-80.5,246.55,13.89,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,p2n,n2p,,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bull,,
2010-11-12,0.74597,,,,,0.64679,0.63554,0.62952,0.62639,0.6678,0.64596,0.02184,0.00713,0.01471,,,3.09,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,4.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,0.0475,0.0,,,,,,,,,,,,82.04646,,,,0.04607,,,0.0915,0.1727,0.204,0.1125,0.0812,0.0313,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,33736600.0,9705600.0,11747000.0,246.55,13.89,19.87,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,p2n,n2p,,,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bull,,
2010-11-15,0.7603,,,,0.852,0.66253,0.64401,0.63391,0.62863,0.69606,0.66118,0.03488,0.01268,0.0222,,,1.14,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,3.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,0.0809,0.0,,,,,,,,,,,,88.91925,,,,0.04958,,,0.1538,0.2862,0.339,0.1852,0.1324,0.0528,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.0,0.614,0.0,0.0,2010-11-15,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,9705600.0,11747000.0,14711700.0,13.89,19.87,-34.47,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,14711700,,p2n,n2p,,,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bull,,
2010-11-16,0.76828,,,,,0.67561,0.65141,0.63784,0.63066,0.71705,0.67387,0.04318,0.01878,0.0244,,,0.09,-7.15,0.56,-11.84,1.9,-19.38,1.73,-2.84,2.0,8.0,6.0,36.0,11.0,25.0,9.0,11.0,-0.0,-0.019,,,,,,,,,,,,89.59329,86.853,,89.593,0.05012,,0.05,0.2075,0.3777,0.4495,0.242,0.1702,0.0718,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.0,0.614,0.0,0.0,2010-11-15,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,11747000.0,14711700.0,10898700.0,19.87,-34.47,3.3,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,89.593,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,2010-11-16,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,n2p,,,p2n,,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bull,,
2010-11-18,0.76946,,0.769,,,0.68694,0.65813,0.64151,0.63258,0.73334,0.68491,0.04842,0.02471,0.02372,,,-7.21,0.56,-11.84,1.9,-19.38,1.73,-2.84,0.58,8.0,6.0,36.0,11.0,25.0,9.0,11.0,4.0,-0.0,-0.0096,,,,,,,,,,,,82.30547,86.93934,,,0.04891,,,0.2555,0.4543,0.5436,0.2881,0.1988,0.0893,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852,0.0,0.0,0.614,0.0,0.0,2010-11-15,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,14711700.0,10898700.0,2851200.0,-34.47,3.3,-23.81,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00039,100.0,100.0,89.593,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-11-08,1999-01-01,1999-01-01,0.0,0.0,0.0,4329.0,0.0,0.0,2010-11-16,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,p2n,,,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bull,,
