Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2015-06-09,0.71453,,,,,0.715,0.715,0.715,0.715,0.715,0.715,0.0,0.0,0.0,,,-0.07,17.65,-5.24,2.89,-15.75,18.12,-5.15,0.91,2.0,12.0,10.0,9.0,22.0,33.0,40.0,9.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,51542600,0.0,0.0,5154260000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2015-06-10,0.71386,,,,,0.71538,0.7152,0.7151,0.71505,0.71577,0.71537,0.0004,8e-05,0.00032,,,0.02,17.65,-5.24,2.89,-15.75,18.12,-5.15,0.91,1.0,12.0,10.0,9.0,22.0,33.0,40.0,9.0,0.005,0.0,,,,,,,,,,,,,,,,0.0015,0.0028,0.0033,0.0018,0.0013,0.0005,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,51542600,4728600,0.0,5154260000.0,9.17,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2015-06-11,0.71446,0.714,,,0.72,0.71574,0.71538,0.7152,0.7151,0.71642,0.71571,0.00071,0.00021,0.0005,,0.001,17.57,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,12.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,0.0,0.0,,,,,,,,,,,,,,,,0.0028,0.0054,0.0064,0.0036,0.0026,0.001,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,51542600,4728600,3771400,5154260000.0,9.17,6.7,0.001,0.0,0.0,100.0,100.0,100.0,0.00021,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,6005,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,-2177100.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2015-06-12,0.71744,,,,,0.71491,0.71498,0.71499,0.715,0.71466,0.71492,-0.00026,0.00011,-0.00037,,,17.08,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,11.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,-0.0,-0.015,,,,,,,,,,,,,,,,-0.0002,-0.0008,-0.0009,-0.0007,-0.0006,-0.0001,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,0.48,,,,,,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,4728600,3771400,2177100,9.17,6.7,-82.22,0.001,0.0,0.0,100.0,100.0,100.0,0.00021,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,6005,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-8222600.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2015-06-15,0.72355,,,0.695,,0.71338,0.71419,0.7146,0.7148,0.71164,0.71344,-0.00181,-0.00027,-0.00154,,,16.09,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,10.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,-0.0,-0.01,,,,,,,,,,,,,,,,-0.0061,-0.0122,-0.0142,-0.0081,-0.0061,-0.002,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,1.34,,,,,,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.695,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,2015-06-15,1999-01-01,1999-01-01,3771400,2177100,8222600,6.7,-82.22,32.72,0.001,0.0,0.0,100.0,100.0,100.0,0.00021,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,6005,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,2380300.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2015-06-16,0.73319,,,,,0.71312,0.71403,0.71451,0.71475,0.71139,0.71319,-0.0018,-0.00058,-0.00123,-0.002,,14.57,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,9.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,0.015,0.0,,,,,,,,,,,,,,,,-0.0072,-0.0139,-0.0163,-0.0091,-0.0067,-0.0024,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,2.69,,,,,,3,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.695,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,2015-06-15,1999-01-01,1999-01-01,2177100,8222600,2380300,-82.22,32.72,-9.82,0.001,0.0,0.0,-0.002,100.0,100.0,0.00021,0.0,0.0,-0.00058,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,2015-06-16,1999-01-01,1999-01-01,6005,0,0,6010,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2015-06-17,0.74631,,,,,0.71404,0.71446,0.71471,0.71485,0.71348,0.71406,-0.00058,-0.00058,-0.0,,,12.55,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,8.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,0.015,0.0,,,,,,,,,,,,40.54834,,,,-0.0039,-0.0067,-0.0081,-0.0042,-0.0028,-0.0014,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,4.53,,,,,,4,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.695,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,2015-06-15,1999-01-01,1999-01-01,8222600,2380300,5248200,32.72,-9.82,24.03,0.001,0.0,0.0,-0.002,100.0,100.0,0.00021,0.0,0.0,-0.00058,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,2015-06-16,1999-01-01,1999-01-01,6005,0,0,6010,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1751600.0,,,p2n,n2p,p2n,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,,
2015-06-18,0.76221,,,,,0.71488,0.71487,0.71492,0.71495,0.71525,0.71487,0.00038,-0.00039,0.00077,,,10.21,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,7.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,0.0,0.0,,,,,,,,,,,,59.59596,,,,-0.0008,-0.0005,-0.0008,0.0,0.0003,-0.0003,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,6.75,,,,,,5,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.695,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,2015-06-15,1999-01-01,1999-01-01,2380300,5248200,1751600,-9.82,24.03,-40.82,0.001,0.0,0.0,-0.002,100.0,100.0,0.00021,0.0,0.0,-0.00058,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,2015-06-16,1999-01-01,1999-01-01,6005,0,0,6010,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6122100.0,,,,p2n,n2p,p2n,p2n,n2p,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,,
2015-06-19,0.77951,,,,,0.7172,0.71605,0.71551,0.71525,0.71983,0.71711,0.00272,0.00024,0.00249,,,7.76,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,6.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,0.02,0.0,,,,,,,,,,,,75.21368,58.45266,,,0.008,0.0169,0.0195,0.0115,0.0089,0.0026,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,9.18,,,,,,6,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.695,0.0,0.0,2015-06-11,1999-01-01,1999-01-01,2015-06-15,1999-01-01,1999-01-01,5248200,1751600,6122100,24.03,-40.82,39.89,0.001,0.0,0.0,-0.002,100.0,100.0,0.00021,0.0,0.0,-0.00058,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,2015-06-16,1999-01-01,1999-01-01,6005,0,0,6010,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,28581200.0,,,n2p,p2n,p2n,n2p,p2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
2015-06-22,0.79676,,,,0.855,0.7278,0.7215,0.71828,0.71664,0.74062,0.72732,0.0133,0.00285,0.01046,,,5.43,-5.24,2.89,-15.75,18.12,-5.15,0.91,-10.77,5.0,10.0,9.0,22.0,33.0,40.0,9.0,39.0,0.11,0.0,,,,,,,,,,,,85.31469,73.37477,,,0.0486,0.0952,0.1116,0.063,0.0466,0.0164,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.714,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2015-06-11,1999-01-01,1999-01-01,11.59,,,,,,7,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.855,0.72,0.0,0.695,0.0,0.0,2015-06-22,2015-06-11,1999-01-01,2015-06-15,1999-01-01,1999-01-01,1751600,6122100,28581200,-40.82,39.89,177.82,0.001,0.0,0.0,-0.002,100.0,100.0,0.00021,0.0,0.0,-0.00058,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2015-06-11,1999-01-01,1999-01-01,2015-06-16,1999-01-01,1999-01-01,6005,0,0,6010,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,n2p,p2n,p2n,n2p,p2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
