Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2021-03-30,0.42455,,,,,0.43,0.43,0.43,0.43,0.43,0.43,0.0,0.0,0.0,,,-6.96,26.33,-6.61,4.94,-20.65,6.19,-27.43,3.68,5.0,16.0,10.0,9.0,27.0,16.0,53.0,14.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,107939800.0,0.0,0.0,10793980000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2021-03-31,0.41442,,,,,0.42808,0.42902,0.4295,0.42975,0.42615,0.42815,-0.00199,-0.0004,-0.0016,,,-4.69,26.33,-6.61,4.94,-20.65,6.19,-27.43,3.68,4.0,16.0,10.0,9.0,27.0,16.0,53.0,14.0,-0.0,-0.025,,,,,,,,,,,,,,,,-0.0073,-0.0142,-0.0167,-0.0094,-0.0069,-0.0025,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,107939800.0,9295500.0,0.0,10793980000.0,8.61,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-01,0.40611,,,,,0.42515,0.42749,0.42872,0.42936,0.42059,0.42532,-0.00473,-0.00127,-0.00347,,,-2.74,26.33,-6.61,4.94,-20.65,6.19,-27.43,3.68,3.0,16.0,10.0,9.0,27.0,16.0,53.0,14.0,-0.0,-0.015,,,,,,,,,,,,,,,,-0.0187,-0.0357,-0.0421,-0.0234,-0.017,-0.0064,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,107939800.0,9295500.0,8190900.0,10793980000.0,8.61,6.99,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-02,0.40004,,,,,0.42168,0.42563,0.42776,0.42886,0.41435,0.42197,-0.00762,-0.00254,-0.00508,,,-1.26,26.33,-6.61,4.94,-20.65,6.19,-27.43,3.68,2.0,16.0,10.0,9.0,27.0,16.0,53.0,14.0,-0.0,-0.01,,,,,,,,,,,,,,,,-0.0323,-0.0608,-0.0718,-0.0395,-0.0285,-0.011,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,9295500.0,8190900.0,10808600.0,8.61,6.99,-77.44,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,-10808600,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-05,0.39631,,,,,0.41847,0.42384,0.42681,0.42838,0.40906,0.41886,-0.00979,-0.00399,-0.00581,,,-0.33,26.33,-6.61,4.94,-20.65,6.19,-27.43,3.68,1.0,16.0,10.0,9.0,27.0,16.0,53.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0454,-0.0834,-0.0991,-0.0537,-0.038,-0.0157,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,8190900.0,10808600.0,3563400.0,6.99,-77.44,-20.26,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,p2n,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-06,0.39495,0.395,,,,0.41513,0.42192,0.42579,0.42785,0.40382,0.41561,-0.01179,-0.00555,-0.00624,,,26.34,-6.61,4.94,-20.65,6.19,-27.43,3.68,,16.0,10.0,9.0,27.0,16.0,53.0,14.0,,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0593,-0.1066,-0.1272,-0.0679,-0.0473,-0.0206,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.395,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-06,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,10808600.0,3563400.0,6628200.0,-77.44,-20.26,-6.93,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,p2n,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-07,0.39601,,,0.37,,0.41165,0.41989,0.42468,0.42727,0.39862,0.41223,-0.01361,-0.00716,-0.00645,-0.014,,26.01,-6.61,4.94,-20.65,6.19,-27.43,3.68,,15.0,10.0,9.0,27.0,16.0,53.0,14.0,,-0.0,-0.005,,,,,,,,,,,,6.0775,,,,-0.0738,-0.1303,-0.1562,-0.0824,-0.0565,-0.0259,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.395,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-06,1999-01-01,1999-01-01,0.26,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,3563400.0,6628200.0,3808000.0,-20.26,-6.93,-33.34,0.0,0.0,0.0,-0.014,100.0,100.0,0.0,0.0,0.0,-0.00716,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,8132.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,p2n,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-08,0.39945,,,,0.435,0.41345,0.42048,0.42489,0.42735,0.40422,0.41392,-0.0097,-0.00767,-0.00203,,,24.92,-6.61,4.94,-20.65,6.19,-27.43,3.68,,14.0,10.0,9.0,27.0,16.0,53.0,14.0,,0.065,0.0,,,,,,,,,,,,38.92774,,,,-0.0687,-0.1144,-0.139,-0.0703,-0.0457,-0.0246,1.0,0.0,1.0,,,,,,-0.15,,,0.0,0.0,0.0,0.395,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-06,1999-01-01,1999-01-01,1.13,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.37,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,6628200.0,3808000.0,34975300.0,-6.93,-33.34,224.38,0.0,0.0,0.0,-0.014,100.0,100.0,0.0,0.0,0.0,-0.00716,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,8132.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34975300,,,,p2n,,,,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-09,0.40505,,,,,0.41318,0.42007,0.42459,0.42718,0.40511,0.41363,-0.00852,-0.00784,-0.00068,,,23.19,-6.61,4.94,-20.65,6.19,-27.43,3.68,,13.0,10.0,9.0,27.0,16.0,53.0,14.0,,-0.0,-0.025,,,,,,,,,,,,56.36364,33.78962,,,-0.0711,-0.1141,-0.14,-0.0689,-0.043,-0.0259,1.0,1.0,1.0,,,,,,,-0.15,,0.0,0.0,0.0,0.395,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-06,1999-01-01,1999-01-01,2.54,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.37,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,3808000.0,34975300.0,6982400.0,-33.34,224.38,0.78,0.0,0.0,0.0,-0.014,100.0,100.0,0.0,0.0,0.0,-0.00716,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,8132.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,n2p,,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2021-04-12,0.41231,,,,,0.41256,0.41948,0.4242,0.42696,0.40509,0.41299,-0.0079,-0.00785,-5e-05,,-0.008,21.03,-6.61,4.94,-20.65,6.19,-27.43,3.68,,12.0,10.0,9.0,27.0,16.0,53.0,14.0,,-0.0,-0.005,,,,,,,,,,,,71.11111,55.4675,,71.111,-0.0748,-0.1164,-0.144,-0.0692,-0.0416,-0.0276,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.395,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-06,1999-01-01,1999-01-01,4.38,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.37,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,34975300.0,6982400.0,4174300.0,224.38,0.78,0.8,-0.008,0.0,0.0,-0.014,100.0,100.0,-0.00785,0.0,0.0,-0.00716,100.0,100.0,71.111,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2021-04-12,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,8137.0,0.0,0.0,8132.0,0.0,0.0,2021-04-12,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,n2p,,,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
