Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2004-09-10,0.81471,,,,,0.8153,0.8153,0.8153,0.8153,0.8153,0.8153,0.0,0.0,0.0,,,-1.19,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,9.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,6528200,0.0,0.0,652820000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2004-09-13,0.81341,,,,,0.8153,0.8153,0.8153,0.8153,0.8153,0.8153,0.0,0.0,0.0,,,-1.03,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,8.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,1,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,6528200,1166100,0.0,652820000.0,17.86,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2004-09-14,0.81185,,,,,0.81495,0.81512,0.81521,0.81526,0.81461,0.81497,-0.00036,-7e-05,-0.00029,,,-0.84,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,7.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,-0.0,-0.0045,,,,,,,,,,,,,,,,-0.0014,-0.0026,-0.0031,-0.0017,-0.0012,-0.0005,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,6528200,1166100,2148300,652820000.0,17.86,27.92,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1020700.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2004-09-15,0.81007,,,0.811,,0.81463,0.81495,0.81512,0.81521,0.81402,0.81466,-0.00064,-0.00018,-0.00045,-0.001,,-0.63,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,6.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0026,-0.0049,-0.0058,-0.0032,-0.0023,-0.0009,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,1166100,2148300,1020700,17.86,27.92,-55.96,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00018,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,0,0,0,2084,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2082900.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2004-09-16,0.80831,,,,0.82,0.81503,0.81514,0.81522,0.81526,0.81491,0.81504,-0.00013,-0.00017,5e-05,,,-0.41,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,5.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,0.009,0.0,,,,,,,,,,,,,,,,-0.0012,-0.0019,-0.0023,-0.0011,-0.0007,-0.0004,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.811,0.0,0.0,2004-09-16,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,2148300,1020700,2082900,27.92,-55.96,21.15,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00018,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,0,0,0,2084,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,-204200.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2004-09-17,0.80682,,,,,0.81471,0.81497,0.81513,0.81521,0.81428,0.81472,-0.00045,-0.00023,-0.00022,,-0.0,-0.23,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,4.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,-0.0,-0.009,,,,,,,,,,,,,,,,-0.0024,-0.0042,-0.005,-0.0026,-0.0018,-0.0008,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.811,0.0,0.0,2004-09-16,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,1020700,2082900,204200,-55.96,21.15,-37.02,-0.0,0.0,0.0,-0.001,100.0,100.0,-0.00023,0.0,0.0,-0.00018,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2004-09-17,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,2086,0,0,2084,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2004-09-20,0.80575,,,,,0.81302,0.8141,0.81469,0.81499,0.81097,0.8131,-0.00213,-0.00061,-0.00152,,,-0.09,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,3.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,-0.0,-0.018,,,,,,,,,,,,16.1606,,,,-0.0089,-0.0167,-0.0197,-0.0108,-0.0078,-0.003,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.811,0.0,0.0,2004-09-16,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,2082900,204200,158800,21.15,-37.02,-26.06,-0.0,0.0,0.0,-0.001,100.0,100.0,-0.00023,0.0,0.0,-0.00018,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2004-09-17,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,2086,0,0,2084,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,330000.0,,p2n,n2p,p2n,n2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2004-09-21,0.80514,,,0.793,,0.81147,0.81327,0.81425,0.81477,0.80818,0.8116,-0.00342,-0.00117,-0.00225,,,-0.02,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,2.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,0.0,0.0,,,,,,,,,,,,16.89079,,,,-0.015,-0.0278,-0.033,-0.018,-0.0128,-0.0052,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.793,0.811,0.0,2004-09-16,1999-01-01,1999-01-01,2004-09-21,2004-09-15,1999-01-01,204200,158800,330000,-37.02,-26.06,-71.67,-0.0,0.0,0.0,-0.001,100.0,100.0,-0.00023,0.0,0.0,-0.00018,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2004-09-17,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,2086,0,0,2084,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,461100.0,,,,p2n,n2p,p2n,n2n,n2p,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2004-09-22,0.80497,,,,,0.81038,0.81264,0.81392,0.81459,0.8065,0.81054,-0.00403,-0.00174,-0.00229,,,0.0,0.87,-1.6,7.13,-5.37,0.37,-1.11,0.62,1.0,9.0,16.0,30.0,23.0,9.0,17.0,6.0,0.0045,0.0,,,,,,,,,,,,23.03754,18.69631,,,-0.0195,-0.0354,-0.0421,-0.0226,-0.0159,-0.0067,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.793,0.811,0.0,2004-09-16,1999-01-01,1999-01-01,2004-09-21,2004-09-15,1999-01-01,158800,330000,461100,-26.06,-71.67,37.07,-0.0,0.0,0.0,-0.001,100.0,100.0,-0.00023,0.0,0.0,-0.00018,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2004-09-17,1999-01-01,1999-01-01,2004-09-15,1999-01-01,1999-01-01,2086,0,0,2084,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,120000.0,,n2p,p2n,n2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2004-09-23,0.80526,0.805,,,,0.80972,0.81222,0.81368,0.81447,0.80578,0.80989,-0.00411,-0.00222,-0.00189,-0.004,,0.84,-1.6,7.13,-5.37,0.37,-1.11,0.62,-0.37,9.0,16.0,30.0,23.0,9.0,17.0,6.0,4.0,0.0045,0.0,,,,,,,,,,,,41.1827,27.03701,,,-0.0225,-0.0396,-0.0475,-0.025,-0.0171,-0.0079,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.805,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2004-09-23,1999-01-01,1999-01-01,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.793,0.811,0.0,2004-09-16,1999-01-01,1999-01-01,2004-09-21,2004-09-15,1999-01-01,330000,461100,120000,-71.67,37.07,-4.08,-0.0,0.0,0.0,-0.004,-0.001,100.0,-0.00023,0.0,0.0,-0.00222,-0.00018,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2004-09-17,1999-01-01,1999-01-01,2004-09-23,2004-09-15,1999-01-01,2086,0,0,8,2084,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,n2p,p2n,n2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
