Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2011-07-19,0.08098,,,,,0.0811,0.0811,0.0811,0.0811,0.0811,0.0811,0.0,0.0,0.0,,,-1.21,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,8.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,177770439,0.0,0.0,17777043900.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2011-07-20,0.08074,,,,0.086,0.08152,0.08131,0.08121,0.08115,0.08193,0.0815,0.00043,9e-05,0.00034,,,-0.91,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,7.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,0.0054,0.0,,,,,,,,,,,,,,,,0.0016,0.0031,0.0037,0.0021,0.0015,0.0006,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.086,0.0,0.0,0.0,0.0,0.0,2011-07-20,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,177770439,83915174,0.0,17777043900.0,47.2,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-07-21,0.08048,,,,,0.08141,0.08127,0.08119,0.08114,0.08166,0.0814,0.00026,0.00012,0.00014,,,-0.6,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,6.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,-0.0,-0.0063,,,,,,,,,,,,,,,,0.0013,0.0022,0.0027,0.0014,0.0009,0.0005,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.086,0.0,0.0,0.0,0.0,0.0,2011-07-20,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,177770439,83915174,23705576,17777043900.0,47.2,9.06,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-07-22,0.08022,,,,,0.08125,0.08119,0.08115,0.08113,0.0813,0.08125,5e-05,0.00011,-5e-05,,,-0.28,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,5.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,-0.0,-0.0009,,,,,,,,,,,,,,,,0.0006,0.001,0.0012,0.0006,0.0004,0.0002,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.086,0.0,0.0,0.0,0.0,0.0,2011-07-20,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,83915174,23705576,10100075,47.2,9.06,-58.75,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,-10100075.0,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2011-07-25,0.08001,,,0.078,,0.08102,0.08108,0.08109,0.0811,0.08084,0.08103,-0.00019,5e-05,-0.00024,,,-0.01,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,4.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,-0.0,-0.001,,,,,,,,,,,,,,,,-0.0002,-0.0007,-0.0008,-0.0006,-0.0005,-0.0001,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.086,0.0,0.0,0.078,0.0,0.0,2011-07-20,1999-01-01,1999-01-01,2011-07-25,1999-01-01,1999-01-01,23705576,10100075,11852392,9.06,-58.75,-61.21,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2011-07-26,0.07989,,,,0.08,0.08096,0.08104,0.08108,0.08109,0.08074,0.08097,-0.00023,-1e-05,-0.00022,,,0.13,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,3.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,0.0019,0.0,,,,,,,,,,,,,,,,-0.0005,-0.0012,-0.0013,-0.0008,-0.0007,-0.0001,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.08,0.086,0.0,0.078,0.0,0.0,2011-07-26,2011-07-20,1999-01-01,2011-07-25,1999-01-01,1999-01-01,10100075,11852392,14382856,-58.75,-61.21,-20.42,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2011-07-27,0.07989,,,0.078,,0.08076,0.08094,0.08102,0.08106,0.08037,0.08077,-0.00041,-9e-05,-0.00032,,,0.14,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,2.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,-0.0,-0.0019,,,,,,,,,,,,34.69042,,,,-0.0012,-0.0026,-0.003,-0.0018,-0.0014,-0.0004,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.08,0.086,0.0,0.078,0.078,0.0,2011-07-26,2011-07-20,1999-01-01,2011-07-27,2011-07-25,1999-01-01,11852392,14382856,7429426,-61.21,-20.42,-7.35,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2011-07-28,0.08001,,,,0.079,0.08064,0.08087,0.08099,0.08104,0.0802,0.08066,-0.00046,-0.00016,-0.0003,,,-0.02,1.25,-1.23,2.5,-18.29,8.96,-2.74,1.41,1.0,5.0,5.0,7.0,32.0,29.0,18.0,5.0,0.001,0.0,,,,,,,,,,,,43.56628,,,,-0.0017,-0.0035,-0.004,-0.0023,-0.0018,-0.0005,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.079,0.08,0.086,0.078,0.078,0.0,2011-07-28,2011-07-26,2011-07-20,2011-07-27,2011-07-25,1999-01-01,14382856,7429426,7058766,-20.42,-7.35,-14.24,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2011-07-29,0.08025,0.08,,0.078,,0.08046,0.08077,0.08093,0.08102,0.07991,0.08049,-0.00058,-0.00024,-0.00033,,,0.94,-1.23,2.5,-18.29,8.96,-2.74,1.41,-1.39,5.0,5.0,7.0,32.0,29.0,18.0,5.0,8.0,-0.0,-0.001,,,,,,,,,,,,47.04476,41.76715,,,-0.0025,-0.0047,-0.0056,-0.0031,-0.0022,-0.0009,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.08,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-07-29,1999-01-01,1999-01-01,0.079,0.08,0.086,0.078,0.078,0.078,2011-07-28,2011-07-26,2011-07-20,2011-07-29,2011-07-27,2011-07-25,7429426,7058766,4514046,-7.35,-14.24,-34.18,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2011-08-01,0.08052,,,,,0.08037,0.08071,0.0809,0.081,0.07982,0.0804,-0.00058,-0.00031,-0.00027,,,0.6,-1.23,2.5,-18.29,8.96,-2.74,1.41,-1.39,4.0,5.0,7.0,32.0,29.0,18.0,5.0,8.0,0.001,0.0,,,,,,,,,,,,55.905,48.83868,,55.905,-0.0029,-0.0053,-0.0063,-0.0034,-0.0024,-0.001,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.08,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-07-29,1999-01-01,1999-01-01,0.079,0.08,0.086,0.078,0.078,0.078,2011-07-28,2011-07-26,2011-07-20,2011-07-29,2011-07-27,2011-07-25,7058766,4514046,3529581,-14.24,-34.18,-20.52,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,55.905,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2011-08-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
