Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2005-10-10,1.22653,,,,,1.2313,1.2313,1.2313,1.2313,1.2313,1.2313,0.0,0.0,0.0,,,-5.83,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,9.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,3290900,0.0,0.0,329090000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2005-10-11,1.21693,,,,1.238,1.23185,1.23158,1.23144,1.23137,1.23241,1.23183,0.00057,0.00011,0.00046,,0.001,-5.09,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,8.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,0.0072,0.0,,,,,,,,,,,,,,,,0.0021,0.0041,0.0048,0.0027,0.002,0.0007,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.238,0.0,0.0,0.0,0.0,0.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,3290900,832500,0.0,329090000.0,25.3,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2005-10-12,1.20721,,,,,1.23125,1.23129,1.2313,1.2313,1.23111,1.23125,-0.00014,6e-05,-0.0002,,,-4.32,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,7.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,-0.0,-0.0145,,,,,,,,,,,,,,,,-0.0001,-0.0005,-0.0005,-0.0004,-0.0004,0.0,0,0,0,,,,,-0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.238,0.0,0.0,0.0,0.0,0.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,3290900,832500,482000,329090000.0,25.3,11.69,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2005-10-13,1.19719,,,,,1.22846,1.22986,1.23058,1.23094,1.22556,1.22857,-0.00301,-0.00055,-0.00246,,,-3.52,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,6.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,-0.0,-0.029,,,,,,,,,,,,,,,,-0.0108,-0.0212,-0.0248,-0.014,-0.0104,-0.0036,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.238,0.0,0.0,0.0,0.0,0.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,832500,482000,246000,25.3,11.69,-66.12,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,-246000.0,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2005-10-14,1.18678,,,,,1.22478,1.22793,1.22959,1.23044,1.21864,1.22501,-0.00637,-0.00172,-0.00466,,,-2.68,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,5.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,-0.0,-0.0144,,,,,,,,,,,,,,,,-0.0251,-0.0481,-0.0566,-0.0315,-0.023,-0.0085,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.238,0.0,0.0,0.0,0.0,0.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,482000,246000,727000,11.69,-66.12,-6.76,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2005-10-17,1.17638,,,1.159,,1.2197,1.22522,1.22819,1.22972,1.20944,1.22011,-0.01067,-0.00351,-0.00717,,,-1.82,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,4.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,-0.0,-0.0218,,,,,,,,,,,,,,,,-0.045,-0.0849,-0.1002,-0.0552,-0.0399,-0.0153,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.238,0.0,0.0,1.159,0.0,0.0,2005-10-11,1999-01-01,1999-01-01,2005-10-17,1999-01-01,1999-01-01,246000,727000,649500,-66.12,-6.76,11.51,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2005-10-18,1.1668,,,,1.173,1.21613,1.22318,1.2271,1.22916,1.20388,1.21664,-0.01277,-0.00536,-0.00741,,,-1.01,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,3.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,0.0145,0.0,,,,,,,,,,,,24.82247,,,,-0.0598,-0.1097,-0.1303,-0.0705,-0.0499,-0.0206,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.173,1.238,0.0,1.159,0.0,0.0,2005-10-18,2005-10-11,1999-01-01,2005-10-17,1999-01-01,1999-01-01,727000,649500,757400,-6.76,11.51,31.52,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2005-10-19,1.15914,,,,,1.21117,1.22038,1.2256,1.22839,1.19583,1.21182,-0.01599,-0.00749,-0.00851,,,-0.36,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,2.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,-0.0,-0.0217,,,,,,,,,,,,24.20549,,,,-0.0801,-0.1443,-0.1722,-0.0921,-0.0642,-0.0279,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.173,1.238,0.0,1.159,0.0,0.0,2005-10-18,2005-10-11,1999-01-01,2005-10-17,1999-01-01,1999-01-01,649500,757400,712300,11.51,31.52,-0.69,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2005-10-20,1.1547,,,,,1.20603,1.21739,1.22399,1.22755,1.18791,1.20682,-0.01892,-0.00977,-0.00915,,,0.03,9.61,-1.42,3.93,-0.15,0.15,-0.54,1.63,1.0,20.0,8.0,15.0,9.0,4.0,8.0,14.0,-0.0,-0.0073,,,,,,,,,,,,23.48806,24.17201,,,-0.1016,-0.1796,-0.2152,-0.1136,-0.078,-0.0356,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.173,1.238,0.0,1.159,0.0,0.0,2005-10-18,2005-10-11,1999-01-01,2005-10-17,1999-01-01,1999-01-01,757400,712300,223100,31.52,-0.69,-20.12,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2005-10-21,1.15462,1.155,,,,1.20072,1.21424,1.22227,1.22665,1.18009,1.20166,-0.02157,-0.01213,-0.00944,,,9.65,-1.42,3.93,-0.15,0.15,-0.54,1.63,-3.74,20.0,8.0,15.0,9.0,4.0,8.0,14.0,30.0,-0.0,-0.0072,,,,,,,,,,,,16.71893,21.47083,,,-0.1241,-0.2155,-0.2593,-0.1352,-0.0914,-0.0438,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,1.155,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-10-21,1999-01-01,1999-01-01,1.173,1.238,0.0,1.159,0.0,0.0,2005-10-18,2005-10-11,1999-01-01,2005-10-17,1999-01-01,1999-01-01,712300,223100,100600,-0.69,-20.12,-38.8,0.001,0.0,0.0,100.0,100.0,100.0,0.00011,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-10-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
