Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2000-01-03,1.63093,,,,,1.63,1.63,1.63,1.63,1.63,1.63,0.0,0.0,0.0,,,6.87,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,14.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,54000,0.0,0.0,5400000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2000-01-04,1.63337,,,,1.64,1.63077,1.63039,1.6302,1.6301,1.63154,1.63074,0.0008,0.00016,0.00064,,0.001,6.71,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,13.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.01,0.0,,,,,,,,,,,,,,,,0.0029,0.0057,0.0067,0.0038,0.0028,0.001,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,0.0,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,54000,19000,0.0,5400000.0,35.18,0.001,0.0,0.0,100.0,100.0,100.0,0.00016,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,368,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2000-01-05,1.63734,,,1.58,,1.62686,1.62842,1.6292,1.6296,1.62361,1.62698,-0.00337,-0.00055,-0.00283,,,6.45,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,12.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,-0.0,-0.06,,,,,,,,,,,,,,,,-0.0118,-0.0234,-0.0274,-0.0156,-0.0116,-0.004,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,1.58,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,54000,19000,22000,5400000.0,35.18,30.14,0.001,0.0,0.0,100.0,100.0,100.0,0.00016,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,368,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2000-01-06,1.64338,,,,,1.62557,1.62769,1.62882,1.62941,1.62152,1.62572,-0.00421,-0.00128,-0.00293,-0.004,,6.06,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,11.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.03,0.0,,,,,,,,,,,,,,,,-0.0172,-0.0325,-0.0384,-0.0212,-0.0153,-0.0059,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,1.58,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,19000,22000,15000,35.18,30.14,-41.05,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,15000.0,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2000-01-11,1.65223,,,,,1.62822,1.62896,1.62944,1.62971,1.62744,1.62826,-0.00083,-0.00119,0.00036,,,5.49,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,8.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.05,0.0,,,,,,,,,,,,,,,,-0.0075,-0.0122,-0.0149,-0.0074,-0.0047,-0.0027,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,1.58,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,22000,15000,23000,30.14,-41.05,7.14,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23000.0,,,,,,,p2n,n2p,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,,
2000-01-12,1.66446,,,,,1.63066,1.63018,1.63005,1.63001,1.63245,1.63061,0.00183,-0.00058,0.00242,,,4.72,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,7.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.0,0.0,,,,,,,,,,,,,,,,0.0017,0.0061,0.0065,0.0048,0.0044,0.0004,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,1.58,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,15000,23000,22000,-41.05,7.14,0.0,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
2000-01-13,1.67934,,,,,1.63446,1.63213,1.63104,1.63051,1.63976,1.63427,0.00549,0.00063,0.00486,,,3.79,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,6.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.02,0.0,,,,,,,,,,,,79.61571,,,,0.0162,0.0342,0.0395,0.0233,0.018,0.0053,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,1.58,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,23000,22000,21000,7.14,0.0,10.0,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
2000-01-14,1.69546,,,,,1.63873,1.6344,1.6322,1.6311,1.64749,1.6384,0.00909,0.00232,0.00677,,,2.8,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,5.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.01,0.0,,,,,,,,,,,,80.7509,,,,0.033,0.0653,0.0763,0.0433,0.0323,0.011,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.64,0.0,0.0,1.58,0.0,0.0,2000-01-04,1999-01-01,1999-01-01,2000-01-05,1999-01-01,1999-01-01,22000,21000,16000,0.0,10.0,-10.61,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
2000-01-17,1.71132,,,,1.72,1.64498,1.63776,1.63394,1.63199,1.65865,1.64444,0.0142,0.0047,0.0095,,,1.85,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,4.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,0.03,0.0,,,,,,,,,,,,82.50528,80.9573,,82.505,0.0577,0.1104,0.1299,0.0722,0.0527,0.0195,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.72,1.64,0.0,1.58,0.0,0.0,2000-01-17,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,21000,16000,26000,10.0,-10.61,6.78,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,82.505,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,2000-01-17,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
2000-01-18,1.72541,,,,,1.64998,1.64059,1.63545,1.63276,1.66655,1.6493,0.01725,0.00721,0.01004,,,1.02,-1.2,34.44,-10.15,24.86,-19.25,0.14,-13.95,3.0,4.0,19.0,7.0,12.0,25.0,9.0,41.0,-0.0,-0.01,,,,,,,,,,,,81.44708,81.56775,,,0.0783,0.1453,0.1722,0.0939,0.067,0.0269,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.72,1.64,0.0,1.58,0.0,0.0,2000-01-17,2000-01-04,1999-01-01,2000-01-05,1999-01-01,1999-01-01,16000,26000,32000,-10.61,6.78,17.46,0.001,0.0,0.0,-0.004,100.0,100.0,0.00016,0.0,0.0,-0.00128,100.0,100.0,82.505,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2000-01-04,1999-01-01,1999-01-01,2000-01-06,1999-01-01,1999-01-01,368,0,0,370,0,0,2000-01-17,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.BearStart,Life.Bull,Life.Bear,Life.BearRecovery,Life.Bull,,
