Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2005-08-19,MLAB,2.4839,2.4839,1.8339,1.8339,1.8339,3869255,0,0.0,1.8339,1.8339,0.0,0.0,0.0,,,1.8339,1.8339,1.8339,1.8339,1.79811,,,,,,-29.04,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,14.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,3869255,0.0,0.0,386925500.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2005-08-22,MLAB,1.8339,1.8339,1.5786,1.6018,1.6018,465144,0,0.0,1.79819,1.81671,-0.01852,-0.0037,-0.01481,,,1.81605,1.8248,1.8293,1.83159,1.72766,,,,,,-26.14,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,13.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.2321,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.0679,-0.1325,-0.1554,-0.0875,-0.0646,-0.0229,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,3869255,465144,0.0,386925500.0,12.02,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-08-23,MLAB,1.6018,1.625,1.4393,1.5089,1.5089,306104,0,0.0,1.75369,1.79391,-0.04022,-0.01101,-0.02921,,,1.79242,1.81241,1.82296,1.82838,1.66047,,,,,,-23.15,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,12.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.0929,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.1597,-0.3054,-0.3596,-0.1999,-0.1457,-0.0542,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,3869255,465144,306104,386925500.0,12.02,7.06,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-08-24,MLAB,1.5089,1.5554,1.4161,1.4857,1.4857,114606,0,0.0,1.71246,1.77108,-0.05862,-0.02053,-0.03809,,,1.76883,1.7996,1.81628,1.82497,1.59815,,,,1.486,,-20.16,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,11.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.0232,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.2537,-0.4745,-0.5614,-0.3077,-0.2208,-0.0869,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,1.486,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,465144,306104,114606,12.02,7.06,-80.91,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,-114606.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-08-25,MLAB,1.4393,1.6714,1.4161,1.6018,1.6018,1439522,0,0.0,1.69543,1.75854,-0.0631,-0.02904,-0.03406,,,1.75598,1.79184,1.81203,1.82275,1.54157,,,,,1.602,-17.23,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,10.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,0.1161,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.3091,-0.5605,-0.6677,-0.3586,-0.2514,-0.1072,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.602,0.0,0.0,1.486,0.0,0.0,2005-08-25,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,306104,114606,1439522,7.06,-80.91,109.99,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1439522.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-08-26,MLAB,1.625,1.6946,1.5321,1.5321,1.5321,426224,0,0.0,1.6703,1.74176,-0.07146,-0.03753,-0.03393,,,1.73876,1.78166,1.80649,1.81986,1.49051,,,,,,-14.39,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,9.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.0697,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.382,-0.6773,-0.811,-0.429,-0.2953,-0.1337,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.602,0.0,0.0,1.486,0.0,0.0,2005-08-25,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,114606,1439522,426224,-80.91,109.99,6.46,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-08-29,MLAB,1.5089,1.5321,1.4393,1.5089,1.5089,120572,0,0.0,1.64547,1.72452,-0.07904,-0.04583,-0.03321,,,1.72107,1.77096,1.8006,1.81676,1.44413,,,,,,-11.64,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,8.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.0232,,,,,,,,,,,,26.15891,,,,,,,,,,0,0,0,,0,0,0,-0.458,-0.7953,-0.9569,-0.4989,-0.3373,-0.1616,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.602,0.0,0.0,1.486,0.0,0.0,2005-08-25,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,1439522,426224,120572,109.99,6.46,0.3,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-08-30,MLAB,1.5089,1.5321,1.4393,1.4857,1.4857,92636,0,0.0,1.62089,1.70683,-0.08593,-0.05385,-0.03208,,,1.70297,1.75977,1.79436,1.81347,1.40187,,,,,,-8.98,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,7.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.0232,,,,,,,,,,,,28.69229,,,28.692,,,,,,,0,0,0,,0,0,0,-0.537,-0.9139,-1.105,-0.568,-0.3769,-0.1911,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.602,0.0,0.0,1.486,0.0,0.0,2005-08-25,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,426224,120572,92636,6.46,0.3,-67.81,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,28.692,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2005-08-30,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,-92636.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-09-01,MLAB,1.4393,1.4393,1.2768,1.2768,1.2768,266430,0,0.0,1.56796,1.67497,-0.10702,-0.06448,-0.04253,,,1.67019,1.74083,1.78411,1.80813,1.36431,,,,,,-6.47,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,5.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.2089,,,,,,,,,,,,19.43746,24.76289,,,,,,,,,0,0,0,,0,0,0,-0.673,-1.1392,-1.3794,-0.7064,-0.4662,-0.2402,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.602,0.0,0.0,1.486,0.0,0.0,2005-08-25,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,120572,92636,266430,0.3,-67.81,-24.99,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,28.692,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2005-08-30,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-09-02,MLAB,1.2536,1.3,1.2304,1.2536,1.2536,140129,0,0.0,1.51959,1.64376,-0.12417,-0.07642,-0.04775,,,1.63814,1.72172,1.77361,1.80261,1.33232,,,,,,-4.23,16.07,-14.11,0.08,-18.54,0.68,-8.14,21.06,4.0,16.0,27.0,3.0,22.0,7.0,17.0,21.0,-0.0,-0.0232,,,,,,,,,,,,9.99629,19.37535,,,,,,,,,0,0,0,,0,0,0,-0.8089,-1.3547,-1.6447,-0.8358,-0.5458,-0.29,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.602,0.0,0.0,1.486,0.0,0.0,2005-08-25,1999-01-01,1999-01-01,2005-08-24,1999-01-01,1999-01-01,92636,266430,140129,-67.81,-24.99,4.08,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,28.692,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2005-08-30,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
