Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,macd_avg5,macd_avg10,macd_avg15,macd_avg20,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v7,v6,v5,v4,v3,v2,v1,v7p,v6p,v5p,v4p,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mp_avg1,mp_avg2,mp_avg3,mt_avg1,mt_avg2,mt_avg3,sp_avg1,sp_avg2,sp_avg3,st_avg1,st_avg2,st_avg3,fp_avg1,fp_avg2,fp_avg3,ft_avg1,ft_avg2,ft_avg3,rp_avg1,rp_avg2,rp_avg3,rt_avg1,rt_avg2,rt_avg3,min_mpavg3,max_mpavg3,min_mtavg3,max_mtavg3,min_spavg3,max_spavg3,min_stavg3,max_stavg3,min_fpavg3,max_fpavg3,min_ftavg3,max_ftavg3,min_rpavg3,max_rpavg3,min_rtavg3,max_rtavg3,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,spavg_high,spavg_vhigh,spavg_uhigh,stavg_high,stavg_vhigh,stavg_uhigh,spavg_low,spavg_vlow,spavg_ulow,stavg_low,stavg_vlow,stavg_ulow,fpavg_high,fpavg_vhigh,fpavg_uhigh,ftavg_high,ftavg_vhigh,ftavg_uhigh,fpavg_low,fpavg_vlow,fpavg_ulow,ftavg_low,ftavg_vlow,ftavg_ulow,rp_high,rp_low,rt_high,rt_low,rpavg_high,rpavg_low,rtavg_high,rtavg_low,mp_positives,mt_positives,mpavg_positives,mtavg_positives,lives_up,lives_down,life5,life4,life3,life2,life1
2019-08-19,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15983,0.15955,0.00028,0.00019,8e-05,,,0.00015,0.00025,0.00035,0.00035,0.15955,0.16024,0.16209,0.16406,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,108.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0382,-0.0254,-0.0451,-0.0069,0.0128,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,2,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-20,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15986,0.15959,0.00027,0.00021,6e-05,,,0.00012,0.00021,0.00031,0.00033,0.15959,0.16023,0.16205,0.16402,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,107.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0379,-0.0246,-0.0443,-0.0064,0.0133,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,2,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-21,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15988,0.15962,0.00026,0.00022,4e-05,,,9e-05,0.00017,0.00028,0.00032,0.15962,0.16022,0.16201,0.16398,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,106.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0376,-0.0239,-0.0436,-0.006,0.0137,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,2,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-22,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.1599,0.15965,0.00025,0.00023,3e-05,,,7e-05,0.00014,0.00024,0.0003,0.15965,0.16021,0.16197,0.16394,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,105.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0373,-0.0232,-0.0429,-0.0056,0.0141,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,2,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-23,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15991,0.15967,0.00024,0.00023,1e-05,,,5e-05,0.00011,0.00021,0.00029,0.15967,0.1602,0.16193,0.1639,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,104.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.037,-0.0226,-0.0423,-0.0053,0.0144,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,2,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-26,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15993,0.1597,0.00023,0.00023,0.0,,,3e-05,9e-05,0.00018,0.00027,0.1597,0.16019,0.16189,0.16386,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,103.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0367,-0.0219,-0.0416,-0.0049,0.0148,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,2,0,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-27,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15994,0.15972,0.00022,0.00023,-1e-05,,,2e-05,7e-05,0.00015,0.00024,0.15972,0.16019,0.16185,0.16382,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,102.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0363,-0.0213,-0.041,-0.0047,0.015,-0.0197,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,0,1,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-28,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15995,0.15974,0.00021,0.00022,-2e-05,,,0.0,5e-05,0.00012,0.00021,0.15974,0.16018,0.16182,0.16378,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,101.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.036,-0.0208,-0.0404,-0.0044,0.0152,-0.0196,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,0,1,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-29,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15996,0.15976,0.0002,0.00022,-2e-05,,,-1e-05,3e-05,9e-05,0.00018,0.15976,0.16017,0.16178,0.16374,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,100.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0357,-0.0202,-0.0398,-0.0041,0.0155,-0.0196,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,0,1,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,-0.005,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
2019-08-30,MPSOL,0.16,0.16,0.16,0.16,0.16,0,0.0,0,0.15996,0.15978,0.00019,0.00021,-3e-05,,,-1e-05,2e-05,7e-05,0.00015,0.15978,0.16017,0.16175,0.16371,0.16,,,0.002,,,6.87,-0.58,20.59,,,,,,99.0,17.0,116.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,-0.0354,-0.0197,-0.0393,-0.0039,0.0157,-0.0196,,,,,,-0.15,,,0.0,0.0,0,0.158,0.0,0,,,,2019-07-24,,,0,0,0,881200,8000,110000,325000,0.0,0.0,0.0,88120000.0,0.91,12.37,32.53,0,0,1,0,0,0.0,0.0,0.0,-0.003,100.0,100.0,0.0,0.0,0.0,-0.00236,100.0,100.0,0,0,0,100,100,100,0,0,0,66.78,100,100,0,0,0,100,100,100,,,,2019-06-28,,,,,,,,,,,,2019-07-01,,,,,,,,,0.0,0.0,0.0,66.66567,0.0,0.0,0,0,0,0,0,0,0,0,0,88.92667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,,,Life.Empty,Life.Empty,Life.BullEnd,Life.BearStart,Life.Bear
