Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2016-03-29,0.57346,,,,,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.0,0.0,0.0,,,10.21,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,7.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,136961800,0.0,0.0,13696180000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2016-03-30,0.58659,,,,0.615,0.57042,0.5686,0.56766,0.56718,0.57415,0.57029,0.00386,0.00077,0.00309,,,7.74,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,6.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,0.0484,0.0,,,,,,,,,,,,,,,,0.0142,0.0276,0.0324,0.0182,0.0134,0.0048,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.615,0.0,0.0,0.0,0.0,0.0,2016-03-30,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,136961800,49645200,0.0,13696180000.0,36.25,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-03-31,0.59871,,,0.601,,0.57274,0.56985,0.56831,0.56751,0.57822,0.57253,0.00569,0.00175,0.00393,,,5.56,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,5.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,-0.0,-0.0145,,,,,,,,,,,,,,,,0.0234,0.0443,0.0523,0.0289,0.0209,0.008,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.615,0.0,0.0,0.601,0.0,0.0,2016-03-30,1999-01-01,1999-01-01,2016-03-31,1999-01-01,1999-01-01,136961800,49645200,16497800,13696180000.0,36.25,8.84,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-01,0.60951,,,,,0.57526,0.57125,0.56905,0.56789,0.5824,0.57497,0.00743,0.00289,0.00454,,,3.69,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,4.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,0.0048,0.0,,,,,,,,,,,,,,,,0.0336,0.0621,0.0737,0.0401,0.0285,0.0116,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.615,0.0,0.0,0.601,0.0,0.0,2016-03-30,1999-01-01,1999-01-01,2016-03-31,1999-01-01,1999-01-01,49645200,16497800,7211600,36.25,8.84,-63.88,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,7211600.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-04,0.61858,,,,,0.57907,0.57335,0.57015,0.56846,0.58892,0.57866,0.01026,0.00437,0.0059,,,2.17,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,3.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,0.0194,0.0,,,,,,,,,,,,,,,,0.0489,0.0892,0.1061,0.0572,0.0403,0.0169,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.615,0.0,0.0,0.601,0.0,0.0,2016-03-30,1999-01-01,1999-01-01,2016-03-31,1999-01-01,1999-01-01,16497800,7211600,22005400,8.84,-63.88,-37.68,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-05,0.62542,,,,,0.58445,0.57631,0.57171,0.56926,0.59816,0.58387,0.0143,0.00635,0.00795,,,1.05,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,2.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,0.0242,0.0,,,,,,,,,,,,,,,,0.0705,0.1274,0.1519,0.0814,0.0569,0.0245,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.615,0.0,0.0,0.601,0.0,0.0,2016-03-30,1999-01-01,1999-01-01,2016-03-31,1999-01-01,1999-01-01,7211600,22005400,31916800,-63.88,-37.68,33.73,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31916800.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-06,0.62975,,,,0.649,0.58941,0.57916,0.57324,0.57005,0.60599,0.58869,0.01729,0.00854,0.00875,,,0.36,-11.08,24.02,-2.01,4.98,-0.56,11.92,-0.88,1.0,18.0,19.0,20.0,18.0,10.0,14.0,6.0,0.0,0.0,,,,,,,,,,,,86.88888,,,,0.0911,0.1617,0.1936,0.1025,0.0706,0.0319,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.649,0.615,0.0,0.601,0.0,0.0,2016-04-06,2016-03-30,1999-01-01,2016-03-31,1999-01-01,1999-01-01,22005400,31916800,12120600,-37.68,33.73,8.03,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-07,0.63164,,0.632,,,0.59288,0.58133,0.57445,0.57069,0.61037,0.59209,0.01829,0.01049,0.0078,,,-11.03,24.02,-2.01,4.98,-0.56,11.92,-0.88,16.94,18.0,19.0,20.0,18.0,10.0,14.0,6.0,21.0,-0.0,-0.0145,,,,,,,,,,,,75.48455,,,,0.1064,0.1843,0.2219,0.1155,0.0779,0.0376,1,1,1,,0.15,,,,,,,0.632,0.0,0.0,0.0,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.649,0.615,0.0,0.601,0.0,0.0,2016-04-06,2016-03-30,1999-01-01,2016-03-31,1999-01-01,1999-01-01,31916800,12120600,4592600,33.73,8.03,-26.37,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-08,0.63123,,,0.63,,0.59571,0.58323,0.57555,0.57128,0.61335,0.59487,0.01847,0.01209,0.00639,,,-10.97,24.02,-2.01,4.98,-0.56,11.92,-0.88,16.94,17.0,19.0,20.0,18.0,10.0,14.0,6.0,21.0,-0.0,-0.0048,,,,,,,,,,,,61.06253,74.47865,,,0.1195,0.2016,0.2443,0.1248,0.0821,0.0427,1,1,1,,0.15,,,,,,,0.632,0.0,0.0,0.0,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.649,0.615,0.0,0.63,0.601,0.0,2016-04-06,2016-03-30,1999-01-01,2016-04-08,2016-03-31,1999-01-01,12120600,4592600,9812400,8.03,-26.37,-45.45,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2016-04-11,0.62866,,,,0.649,0.59981,0.58581,0.577,0.57205,0.61883,0.59888,0.01995,0.01366,0.00629,,,-10.6,24.02,-2.01,4.98,-0.56,11.92,-0.88,16.94,16.0,19.0,20.0,18.0,10.0,14.0,6.0,21.0,0.0193,0.0,,,,,,,,,,,,58.626,65.05769,,,0.1376,0.2281,0.2776,0.14,0.0905,0.0495,1,1,1,,0.15,,,,,,,0.632,0.0,0.0,0.0,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.649,0.649,0.615,0.63,0.601,0.0,2016-04-11,2016-04-06,2016-03-30,2016-04-08,2016-03-31,1999-01-01,4592600,9812400,4807400,-26.37,-45.45,-27.57,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
