Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,ATR,smooth_atr,atr_troughs,atr_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2003-07-10,3.83176,,,,,3.8,3.8,3.8,3.8,3.8,3.8,0.0,0.0,0.0,,,2.67,-13.62,19.95,-15.06,3.93,-5.73,7.69,-11.11,3.0,11.0,19.0,12.0,6.0,9.0,22.0,13.0,,,,,,,,,,,,,,,,,,1.4,1.4,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,4004960.0,0.0,0.0,400496000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2003-07-11,3.88807,,,,4.4,3.84615,3.82353,3.81188,3.80597,3.89231,3.84444,0.04786,0.00957,0.03829,,,1.18,-13.62,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.0,11.0,19.0,12.0,6.0,9.0,22.0,13.0,0.6,0.0,,,,,,,,,,,,,,,,1.37143,1.35288,,,0.1756,0.3427,0.4018,0.2262,0.1671,0.0591,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,2003-07-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,4004960.0,2546060.0,0.0,400496000.0,63.57,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2003-07-14,3.92527,,,,,3.88491,3.84418,3.82254,3.81138,3.96272,3.88189,0.08083,0.02382,0.057,,,0.22,-13.62,19.95,-15.06,3.93,-5.73,7.69,-11.11,1.0,11.0,19.0,12.0,6.0,9.0,22.0,13.0,-0.0,-0.05,,,,,,,,,,,,,,,,1.30204,1.3059,,,0.328,0.6237,0.7353,0.4073,0.2957,0.1116,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,2003-07-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,4004960.0,2546060.0,1095620.0,400496000.0,63.57,16.72,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2003-07-15,3.93411,,3.934,,,3.90146,3.85421,3.82803,3.81426,3.98384,3.89805,0.08579,0.03622,0.04957,,0.086,-13.63,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,11.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,-0.0,-0.25,,,,,,,,,,,,,,,,1.2519,1.25901,,,0.3995,0.7343,0.872,0.4725,0.3348,0.1377,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,2003-07-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2546060.0,1095620.0,625200.0,63.57,16.72,-44.2,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,-625200,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2003-07-16,3.90946,,,,,3.91288,3.86189,3.83243,3.8166,3.99402,3.9093,0.08472,0.04592,0.0388,,,-13.08,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,10.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,-0.0,-0.05,,,,,,,,,,,,,,,,1.1839,1.21232,,,0.4529,0.8045,0.9628,0.5099,0.3516,0.1583,1.0,1.0,1.0,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,2003-07-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1095620.0,625200.0,521190.0,16.72,-44.2,-47.46,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,p2n,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2003-07-17,3.85292,,,3.7,,3.89651,3.85554,3.8298,3.81544,3.94879,3.8938,0.05499,0.04773,0.00725,,,-11.81,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,9.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,-0.0,-0.35,,,,,,,,,,,,,,,,1.12791,1.16574,,,0.401,0.6671,0.8107,0.4097,0.2661,0.1436,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,3.7,0.0,0.0,2003-07-11,1999-01-01,1999-01-01,2003-07-17,1999-01-01,1999-01-01,625200.0,521190.0,510920.0,-44.2,-47.46,-26.08,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,p2n,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2003-07-18,3.77262,,,,3.9,3.89678,3.85728,3.83119,3.81628,3.94128,3.89426,0.04702,0.04759,-0.00057,,,-9.93,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,8.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,0.2,0.0,,,,,,,,,,,,36.43104,,,,1.07949,1.11996,,,0.41,0.6559,0.805,0.395,0.2459,0.1491,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.4,0.0,3.7,0.0,0.0,2003-07-18,2003-07-11,1999-01-01,2003-07-17,1999-01-01,1999-01-01,521190.0,510920.0,1345310.0,-47.46,-26.08,43.45,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1345310,,,,,p2n,,,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2003-07-21,3.68198,,,,,3.88933,3.85503,3.83058,3.81612,3.91955,3.88728,0.03227,0.04452,-0.01226,,,-7.71,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,7.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,-0.0,-0.1,,,,,,,,,,,,22.43449,,,,1.02381,1.07568,,,0.3891,0.5875,0.7321,0.343,0.1984,0.1446,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.4,0.0,3.7,0.0,0.0,2003-07-18,2003-07-11,1999-01-01,2003-07-17,1999-01-01,1999-01-01,510920.0,1345310.0,894930.0,-26.08,43.45,15.72,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,p2n,,,n2p,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2003-07-23,3.59408,,,3.3,,3.844,3.83327,3.82007,3.81098,3.82423,3.84378,-0.01955,0.03171,-0.05126,,,-5.46,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,5.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,-0.0,-0.5,,,,,,,,,,,,21.25604,26.70719,21.256,,0.98997,1.03268,,,0.2229,0.2393,0.3302,0.1073,0.0164,0.0909,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.4,0.0,3.3,3.7,0.0,2003-07-18,2003-07-11,1999-01-01,2003-07-23,2003-07-17,1999-01-01,1345310.0,894930.0,585090.0,43.45,15.72,2.7,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,21.256,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2003-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,n2p,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2003-07-24,3.51898,,,,3.5,3.81754,3.8202,3.81373,3.80789,3.77435,3.81831,-0.04396,0.01658,-0.06054,,,-3.44,19.95,-15.06,3.93,-5.73,7.69,-11.11,2.28,4.0,19.0,12.0,6.0,9.0,22.0,13.0,8.0,0.2,0.0,,,,,,,,,,,,25.1462,22.94558,,25.146,0.9514,0.99151,,,0.1231,0.0647,0.1231,0.0,-0.0584,0.0584,0.0,0.0,0.0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.9,4.4,3.3,3.7,0.0,2003-07-24,2003-07-18,2003-07-11,2003-07-23,2003-07-17,1999-01-01,894930.0,585090.0,751370.0,15.72,2.7,-21.02,0.086,0.0,0.0,100.0,100.0,100.0,0.03622,0.0,0.0,100.0,100.0,100.0,25.146,0.0,0.0,21.256,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2003-07-15,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1656.0,0.0,0.0,0.0,0.0,0.0,2003-07-24,1999-01-01,1999-01-01,2003-07-23,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,n2p,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
