Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2021-06-23,PEKAT,0.85,0.93,0.71,0.815,0.815,243299600,0,0,0.815,0.815,0.0,0.0,0.0,,,0.815,0.815,0.815,0.815,0.8086,,,,,,-11.95,8.85,-4.0,2.15,,,,,14.0,10.0,12.0,16.0,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,243299600,0.0,0.0,24329960000.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2021-06-24,PEKAT,0.82,0.82,0.755,0.755,0.755,23653500,0,0,0.80577,0.81056,-0.00479,-0.00096,-0.00383,,,0.81038,0.81265,0.81381,0.8144,0.79639,,,,0.755,,-10.6,8.85,-4.0,2.15,,,,,13.0,10.0,12.0,16.0,,,,,-0.0,-0.06,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0175,-0.0343,-0.0402,-0.0227,-0.0168,-0.0059,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.755,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-06-24,1999-01-01,1999-01-01,0,243299600,23653500,0.0,24329960000.0,9.72,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-06-25,PEKAT,0.77,0.8,0.73,0.76,0.76,10020400,0,0,0.79873,0.80681,-0.00808,-0.00238,-0.0057,,,0.80651,0.81058,0.81275,0.81386,0.78597,,,,,0.76,-9.41,8.85,-4.0,2.15,,,,,12.0,10.0,12.0,16.0,,,,,0.005,0.0,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0328,-0.0624,-0.0735,-0.0407,-0.0296,-0.0111,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.76,0.0,0.0,0.755,0.0,0.0,2021-06-25,1999-01-01,1999-01-01,2021-06-24,1999-01-01,1999-01-01,243299600,23653500,10020400,24329960000.0,9.72,3.75,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-06-28,PEKAT,0.76,0.77,0.725,0.735,0.735,13136300,0,0,0.78892,0.80149,-0.01257,-0.00442,-0.00815,,,0.80101,0.80762,0.81121,0.81308,0.77826,,,,0.735,,-8.51,8.85,-4.0,2.15,,,,,11.0,10.0,12.0,16.0,,,,,-0.0,-0.025,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0546,-0.102,-0.1207,-0.0661,-0.0474,-0.0187,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.76,0.0,0.0,0.735,0.755,0.0,2021-06-25,1999-01-01,1999-01-01,2021-06-28,2021-06-24,1999-01-01,23653500,10020400,13136300,9.72,3.75,-83.1,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,-13136300.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-06-29,PEKAT,0.745,0.76,0.735,0.755,0.755,10939900,0,0,0.7837,0.79805,-0.01434,-0.0064,-0.00794,,,0.79747,0.80555,0.81009,0.8125,0.77328,,,,,,-7.93,8.85,-4.0,2.15,,,,,10.0,10.0,12.0,16.0,,,,,0.02,0.0,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0695,-0.1262,-0.1503,-0.0808,-0.0567,-0.0241,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.76,0.0,0.0,0.735,0.755,0.0,2021-06-25,1999-01-01,1999-01-01,2021-06-28,2021-06-24,1999-01-01,10020400,13136300,10939900,3.75,-83.1,-27.16,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-06-30,PEKAT,0.755,0.83,0.75,0.78,0.78,24654200,0,0,0.78313,0.79671,-0.01358,-0.00784,-0.00574,-0.014,,0.79613,0.80455,0.8095,0.81218,0.77021,,,,,,-7.56,8.85,-4.0,2.15,,,,,9.0,10.0,12.0,16.0,,,,,0.025,0.0,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0763,-0.1337,-0.1605,-0.0842,-0.0574,-0.0268,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.76,0.0,0.0,0.735,0.755,0.0,2021-06-25,1999-01-01,1999-01-01,2021-06-28,2021-06-24,1999-01-01,13136300,10939900,24654200,-83.1,-27.16,42.92,1,0,0,0,0,0.0,0.0,0.0,-0.014,100.0,100.0,0.0,0.0,0.0,-0.00784,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-06-30,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24654200.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-07-01,PEKAT,0.79,0.82,0.785,0.795,0.795,14107400,0,0,0.78496,0.79658,-0.01162,-0.0086,-0.00303,,,0.79604,0.80418,0.80921,0.812,0.76784,,,,,0.795,-7.27,8.85,-4.0,2.15,,,,,8.0,10.0,12.0,16.0,,,,,0.015,0.0,,,,,,,,,,,,46.50072,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0782,-0.1317,-0.1596,-0.0814,-0.0535,-0.0279,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.795,0.76,0.0,0.735,0.755,0.0,2021-07-01,2021-06-25,1999-01-01,2021-06-28,2021-06-24,1999-01-01,10939900,24654200,14107400,-27.16,42.92,1.99,1,0,0,0,0,0.0,0.0,0.0,-0.014,100.0,100.0,0.0,0.0,0.0,-0.00784,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-06-30,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-07-02,PEKAT,0.805,0.815,0.775,0.785,0.785,7742900,0,0,0.78497,0.79573,-0.01076,-0.00903,-0.00173,,-0.011,0.79519,0.80343,0.80873,0.81174,0.76483,,,,,,-6.91,8.85,-4.0,2.15,,,,,7.0,10.0,12.0,16.0,,,,,-0.0,-0.01,,,,,,,,,,,,58.73016,,,58.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0831,-0.1354,-0.1655,-0.0824,-0.0523,-0.0301,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.795,0.76,0.0,0.735,0.755,0.0,2021-07-01,2021-06-25,1999-01-01,2021-06-28,2021-06-24,1999-01-01,24654200,14107400,7742900,42.92,1.99,-6.43,0,0,1,0,0,-0.011,0.0,0.0,-0.014,100.0,100.0,-0.00903,0.0,0.0,-0.00784,100.0,100.0,58.73,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2021-07-02,1999-01-01,1999-01-01,2021-06-30,1999-01-01,1999-01-01,2021-07-02,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-07-05,PEKAT,0.78,0.785,0.76,0.765,0.765,5934400,0,0,0.78189,0.79345,-0.01156,-0.00953,-0.00202,-0.012,,0.79287,0.80192,0.80787,0.81127,0.76006,,,,0.765,,-6.32,8.85,-4.0,2.15,,,,,6.0,10.0,12.0,16.0,,,,,-0.0,-0.02,,,,,,,,,,,,51.79616,52.34235,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.0935,-0.15,-0.184,-0.0905,-0.0565,-0.034,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.795,0.76,0.0,0.765,0.735,0.755,2021-07-01,2021-06-25,1999-01-01,2021-07-05,2021-06-28,2021-06-24,14107400,7742900,5934400,1.99,-6.43,-40.25,1,0,0,0,0,-0.011,0.0,0.0,-0.012,-0.014,100.0,-0.00903,0.0,0.0,-0.00953,-0.00784,100.0,58.73,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2021-07-02,1999-01-01,1999-01-01,2021-07-05,2021-06-30,1999-01-01,2021-07-02,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-07-06,PEKAT,0.77,0.795,0.76,0.775,0.775,8075300,0,0,0.78083,0.79208,-0.01125,-0.00988,-0.00137,,,0.79149,0.80086,0.80721,0.81091,0.7529,,,,,0.775,-5.43,8.85,-4.0,2.15,,,,,5.0,10.0,12.0,16.0,,,,,0.01,0.0,,,,,,,,,,,,39.9906,50.17231,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-0.1005,-0.1572,-0.1942,-0.0937,-0.0567,-0.037,0,0,0,,,,,,-0.15,,,0.0,0.0,0,0.0,0.0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.775,0.795,0.76,0.765,0.735,0.755,2021-07-06,2021-07-01,2021-06-25,2021-07-05,2021-06-28,2021-06-24,7742900,5934400,8075300,-6.43,-40.25,-21.71,1,0,0,0,0,-0.011,0.0,0.0,-0.012,-0.014,100.0,-0.00903,0.0,0.0,-0.00953,-0.00784,100.0,58.73,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2021-07-02,1999-01-01,1999-01-01,2021-07-05,2021-06-30,1999-01-01,2021-07-02,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
