Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2011-01-03,PLS,1.42,1.47,1.4,1.47,1.47,39100.0,0,0,1.47,1.47,0.0,0.0,0.0,,,1.47,1.47,1.47,1.47,1.49124,,,,,,8.17,-9.24,5.67,-8.73,4.89,-32.75,9.54,-9.26,5.0,11.0,12.0,20.0,12.0,134.0,44.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,39100.0,0.0,0.0,3910000.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2011-01-04,PLS,1.49,1.58,1.49,1.58,1.58,54000.0,0,0,1.48692,1.47815,0.00877,0.00175,0.00702,,,1.47846,1.47431,1.47218,1.47109,1.53172,,,,,,5.31,-9.24,5.67,-8.73,4.89,-32.75,9.54,-9.26,4.0,11.0,12.0,20.0,12.0,134.0,44.0,21.0,0.11,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0.0322,0.0628,0.0737,0.0415,0.0306,0.0109,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,39100.0,54000.0,0.0,3910000.0,138.1,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-05,PLS,1.59,1.94,1.59,1.7,1.7,1337100.0,0,0,1.5197,1.49458,0.02512,0.00643,0.01869,,,1.4955,1.48316,1.47669,1.47337,1.56661,,,,,1.7,2.96,-9.24,5.67,-8.73,4.89,-32.75,9.54,-9.26,3.0,11.0,12.0,20.0,12.0,134.0,44.0,21.0,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0.0979,0.1881,0.2213,0.1234,0.0902,0.0332,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.7,0.0,0.0,0.0,0.0,0.0,2011-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,39100.0,54000.0,1337100.0,3910000.0,138.1,1436.18,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1337100.0,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-06,PLS,1.71,1.71,1.58,1.61,1.61,358300.0,0,0,1.5336,1.50313,0.03046,0.01124,0.01923,,,1.50431,1.48814,1.47933,1.47473,1.59317,,,,,,1.24,-9.24,5.67,-8.73,4.89,-32.75,9.54,-9.26,2.0,11.0,12.0,20.0,12.0,134.0,44.0,21.0,-0.0,-0.09,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0.1341,0.2498,0.2958,0.1617,0.1157,0.046,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.7,0.0,0.0,0.0,0.0,0.0,2011-01-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,54000.0,1337100.0,358300.0,138.1,1436.18,22.32,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-07,PLS,1.63,1.74,1.6,1.6,1.6,587600.0,0,0,1.54381,1.51031,0.03351,0.01569,0.01782,,,1.51167,1.49252,1.48172,1.47598,1.60897,,,,1.6,,0.25,-9.24,5.67,-8.73,4.89,-32.75,9.54,-9.26,1.0,11.0,12.0,20.0,12.0,134.0,44.0,21.0,-0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0.1654,0.2995,0.3569,0.1915,0.1341,0.0574,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.7,0.0,0.0,1.6,0.0,0.0,2011-01-05,1999-01-01,1999-01-01,2011-01-07,1999-01-01,1999-01-01,1337100.0,358300.0,587600.0,1436.18,22.32,30.5,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-10,PLS,1.68,1.75,1.68,1.74,1.74,1088000.0,0,0,1.57399,1.52732,0.04667,0.02189,0.02479,,,1.52923,1.50223,1.48683,1.47861,1.61284,,1.613,,,1.74,-9.23,5.67,-8.73,4.89,-32.75,9.54,-9.26,16.57,11.0,12.0,20.0,12.0,134.0,44.0,21.0,31.0,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0.2362,0.424,0.5062,0.27,0.1878,0.0822,1,1,1,,0.15,,,,,,,1.613,0.0,0.0,0.0,0.0,0.0,2011-01-10,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.74,1.7,0.0,1.6,0.0,0.0,2011-01-10,2011-01-05,1999-01-01,2011-01-07,1999-01-01,1999-01-01,358300.0,587600.0,1088000.0,22.32,30.5,-10.91,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1088000.0,,,,,p2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-11,PLS,1.76,1.78,1.65,1.65,1.65,873800.0,0,0,1.58569,1.53641,0.04928,0.02737,0.02191,,0.049,1.53852,1.50802,1.49006,1.48031,1.606,,,0.037,,,-8.84,5.67,-8.73,4.89,-32.75,9.54,-9.26,16.57,10.0,12.0,20.0,12.0,134.0,44.0,21.0,31.0,-0.0,-0.09,,,,,,,,,,,,37.34568,,,,,,,,,,0,0,0,,0,0,0,0.2771,0.4846,0.5821,0.305,0.2075,0.0975,1,1,1,,0.15,,,,,,,1.613,0.0,0.0,0.0,0.0,0.0,2011-01-10,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.74,1.7,0.0,1.6,0.0,0.0,2011-01-10,2011-01-05,1999-01-01,2011-01-07,1999-01-01,1999-01-01,587600.0,1088000.0,873800.0,30.5,-10.91,25.35,0,0,0,0,0,0.049,0.0,0.0,100.0,100.0,100.0,0.02737,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-01-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-12,PLS,1.67,1.7,1.59,1.62,1.62,531800.0,0,0,1.59097,1.5426,0.04837,0.03157,0.0168,,,1.54479,1.51242,1.49264,1.4817,1.59093,,,0.007,,,-7.98,5.67,-8.73,4.89,-32.75,9.54,-9.26,16.57,9.0,12.0,20.0,12.0,134.0,44.0,21.0,31.0,-0.0,-0.03,,,,,,,,,,,,31.66667,,,,,,,,,,0,0,0,,0,0,0,0.3072,0.5215,0.6309,0.3237,0.2143,0.1094,1,1,1,,0.15,,,,,,,1.613,0.0,0.0,0.0,0.0,0.0,2011-01-10,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.74,1.7,0.0,1.6,0.0,0.0,2011-01-10,2011-01-05,1999-01-01,2011-01-07,1999-01-01,1999-01-01,1088000.0,873800.0,531800.0,-10.91,25.35,-2.19,0,0,0,0,0,0.049,0.0,0.0,100.0,100.0,100.0,0.02737,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-01-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-13,PLS,1.63,1.64,1.58,1.58,1.58,220300.0,0,0,1.58928,1.54537,0.04391,0.03403,0.00987,,,1.5475,1.51507,1.49437,1.48268,1.57038,,,-0.033,,,-6.77,5.67,-8.73,4.89,-32.75,9.54,-9.26,16.57,8.0,12.0,20.0,12.0,134.0,44.0,21.0,31.0,-0.0,-0.04,,,,,,,,,,,,13.14815,27.38683,13.148,,,,,,,,0,0,0,,0,0,0,0.3239,0.5313,0.6482,0.3243,0.2074,0.1169,1,1,1,,0.15,,,,,,,1.613,0.0,0.0,0.0,0.0,0.0,2011-01-10,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.74,1.7,0.0,1.6,0.0,0.0,2011-01-10,2011-01-05,1999-01-01,2011-01-07,1999-01-01,1999-01-01,873800.0,531800.0,220300.0,25.35,-2.19,-34.8,0,0,0,0,0,0.049,0.0,0.0,100.0,100.0,100.0,0.02737,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,13.148,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-01-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2011-01-13,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2011-01-14,PLS,1.6,1.6,1.5,1.57,1.57,324700.0,0,0,1.58631,1.54719,0.03912,0.03505,0.00407,,,1.54923,1.51722,1.49586,1.48355,1.54725,,,-0.043,,,-5.38,5.67,-8.73,4.89,-32.75,9.54,-9.26,16.57,7.0,12.0,20.0,12.0,134.0,44.0,21.0,31.0,-0.0,-0.01,,,,,,,,,,,,15.0,19.93827,,15.0,,,,,,,0,0,0,,0,0,0,0.3367,0.5337,0.6568,0.3201,0.197,0.1231,1,1,1,,0.15,,,,,,,1.613,0.0,0.0,0.0,0.0,0.0,2011-01-10,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.74,1.7,0.0,1.6,0.0,0.0,2011-01-10,2011-01-05,1999-01-01,2011-01-07,1999-01-01,1999-01-01,531800.0,220300.0,324700.0,-2.19,-34.8,-33.77,0,0,0,0,0,0.049,0.0,0.0,100.0,100.0,100.0,0.02737,0.0,0.0,100.0,100.0,100.0,15.0,0.0,0.0,13.148,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-01-11,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2011-01-14,1999-01-01,1999-01-01,2011-01-13,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,p2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
