Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2005-11-16,0.21576,,,,,0.2133,0.2133,0.2133,0.2133,0.2133,0.2133,0.0,0.0,0.0,,,18.19,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,24.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,9450400.0,0.0,0.0,945040000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2005-11-17,0.22038,,,0.204,,0.21255,0.21292,0.21311,0.2132,0.21181,0.21258,-0.00077,-0.00015,-0.00062,-0.001,,15.71,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,23.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,-0.0,-0.0097,,,,,,,,,,,,,,,,-0.0028,-0.0056,-0.0065,-0.0037,-0.0028,-0.0009,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.204,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,0.0,9450400.0,1181900.0,0.0,945040000.0,12.51,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,0,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2005-11-18,0.22422,,,,,0.2141,0.2137,0.2135,0.2134,0.21502,0.21407,0.00095,7e-05,0.00088,,,13.73,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,22.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,0.0291,0.0,,,,,,,,,,,,,,,,0.003,0.006,0.007,0.004,0.003,0.001,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.204,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,9450400.0,1181900.0,1922300.0,945040000.0,12.51,18.08,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,0,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2005-11-21,0.22718,,,,0.257,0.2174,0.21539,0.21436,0.21383,0.22146,0.21724,0.00422,0.0009,0.00332,,,12.24,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,21.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,0.0242,0.0,,,,,,,,,,,,,,,,0.0156,0.0304,0.0357,0.0201,0.0148,0.0053,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.257,0.0,0.0,0.204,0.0,0.0,2005-11-21,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,1181900.0,1922300.0,7562000.0,12.51,18.08,-15.04,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,0,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2005-11-22,0.22936,,,0.23,,0.21839,0.21597,0.21467,0.21399,0.22282,0.21821,0.00461,0.00164,0.00297,,,11.18,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,20.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,-0.0,-0.0266,,,,,,,,,,,,,,,,0.0198,0.0372,0.044,0.0242,0.0174,0.0068,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.257,0.0,0.0,0.23,0.204,0.0,2005-11-21,1999-01-01,1999-01-01,2005-11-22,2005-11-17,1999-01-01,1922300.0,7562000.0,1737800.0,18.08,-15.04,5.21,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,0,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2005-11-23,0.23094,,,,0.24,0.22005,0.21692,0.21517,0.21425,0.22547,0.21983,0.00564,0.00244,0.0032,,0.006,10.42,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,19.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,0.0097,0.0,,,,,,,,,,,,,,,,0.0267,0.0488,0.058,0.0313,0.0221,0.0092,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.24,0.257,0.0,0.23,0.204,0.0,2005-11-23,2005-11-21,1999-01-01,2005-11-22,2005-11-17,1999-01-01,7562000.0,1737800.0,1094700.0,-15.04,5.21,-7.37,0.006,0.0,0.0,-0.001,100.0,100.0,0.00244,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-11-23,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,2518,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2005-11-24,0.23224,,,,,0.22046,0.21725,0.21538,0.21436,0.22546,0.22024,0.00522,0.003,0.00222,,,9.8,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,18.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,-0.0,-0.0146,,,,,,,,,,,,40.86483,,,,0.0289,0.0508,0.061,0.0321,0.0219,0.0102,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.24,0.257,0.0,0.23,0.204,0.0,2005-11-23,2005-11-21,1999-01-01,2005-11-22,2005-11-17,1999-01-01,1737800.0,1094700.0,364100.0,5.21,-7.37,-69.25,0.006,0.0,0.0,-0.001,100.0,100.0,0.00244,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-11-23,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,2518,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,-364100.0,,,,,n2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2005-11-25,0.23336,,,,,0.22066,0.21747,0.21553,0.21445,0.22508,0.22044,0.00464,0.00332,0.00131,,,9.27,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,17.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,-0.0,-0.0024,,,,,,,,,,,,28.28653,,,,0.0302,0.0513,0.0621,0.0319,0.0211,0.0108,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.24,0.257,0.0,0.23,0.204,0.0,2005-11-23,2005-11-21,1999-01-01,2005-11-22,2005-11-17,1999-01-01,1094700.0,364100.0,877200.0,-7.37,-69.25,-26.92,0.006,0.0,0.0,-0.001,100.0,100.0,0.00244,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-11-23,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,2518,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,n2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2005-11-28,0.23436,,,0.218,,0.22046,0.2175,0.21558,0.21449,0.224,0.22027,0.00374,0.00341,0.00033,,,8.81,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,16.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,-0.0,-0.0049,,,,,,,,,,,,10.68439,26.61192,10.684,,0.0301,0.0488,0.0597,0.0296,0.0187,0.0109,0,1,0,,,,0.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.24,0.257,0.0,0.218,0.23,0.204,2005-11-23,2005-11-21,1999-01-01,2005-11-28,2005-11-22,2005-11-17,364100.0,877200.0,550000.0,-69.25,-26.92,-23.32,0.006,0.0,0.0,-0.001,100.0,100.0,0.00244,0.0,0.0,-0.00015,100.0,100.0,0.0,0.0,0.0,10.684,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-11-23,1999-01-01,1999-01-01,2005-11-17,1999-01-01,1999-01-01,2518,0,0,2512,0,0,1999-01-01,1999-01-01,1999-01-01,2005-11-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,n2n,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,Life.BullEnd,,
2005-11-29,0.23536,,,,,0.22159,0.21819,0.21596,0.21469,0.22571,0.22137,0.00434,0.00359,0.00075,0.004,,8.34,-0.78,17.39,-1.01,4.08,-1.63,262.79,-3.85,15.0,7.0,32.0,4.0,16.0,14.0,40.0,13.0,0.017,0.0,,,,,,,,,,,,17.9868,18.98591,,,0.035,0.0563,0.069,0.034,0.0213,0.0127,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.24,0.257,0.0,0.218,0.23,0.204,2005-11-23,2005-11-21,1999-01-01,2005-11-28,2005-11-22,2005-11-17,877200.0,550000.0,1008900.0,-26.92,-23.32,36.0,0.006,0.0,0.0,0.004,-0.001,100.0,0.00244,0.0,0.0,0.00359,-0.00015,100.0,0.0,0.0,0.0,10.684,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2005-11-23,1999-01-01,1999-01-01,2005-11-29,2005-11-17,1999-01-01,2518,0,0,12,2512,0,1999-01-01,1999-01-01,1999-01-01,2005-11-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1008900.0,,,,,,,n2n,n2p,Life.BearStart,Life.Bear,Life.Bull,Life.BullEnd,Life.Bull,,
