Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,no25,dist_no25,no200,dist_no200,all4,dist_all4,all4_no25,no200_no25,all4_no200,macd_short,macd_long,MACD,MACD_signal,smooth_macd,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,smooth_rsi,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,smooth_slowK,smooth_slowD,slow_troughs,slow_peaks,ATR,smooth_atr,atr_troughs,atr_peaks,all4_up,no25_up,no200_up,all4_momentum,no25_momentum,no200_momentum,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,atr_p1,atr_p2,atr_p3,atr_t1,atr_t2,atr_t3,atr_p1_date,atr_p2_date,atr_p3_date,atr_t1_date,atr_t2_date,atr_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,minap,maxap,minat,maxat,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2010-08-03,0.14072,,,,,0.1441,0.1441,0.1441,0.1441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,0.1441,0.0,0.0,0.0,0.0,,,-26.81,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,56.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,,,,,,,,,,,,,,,,,,,,,0.0268,0.0268,,,0,0,0,0.0,0.0,0.0,,,,0.15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,30960600.0,0.0,0.0,3096060000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,,
2010-08-04,0.13413,,,,,0.14325,0.14366,0.14388,0.14399,-0.00032,-0.00062,-0.00063,-0.00084,-0.00074,-0.00108,-0.00046,-0.00022,-0.00024,0.14239,0.14328,-0.00089,-0.00018,-0.00045,-0.00071,,,-23.21,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,55.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0111,,,,,,,,,,,,,,,,,,,0.02568,0.02599,,,0,0,0,-0.11,-0.06,-0.08,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,30960600.0,1515030.0,0.0,3096060000.0,4.89,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-05,0.12801,,,,,0.14175,0.14289,0.14348,0.14379,-0.0009,-0.00123,-0.00173,-0.00167,-0.00204,-0.00216,-0.00093,-0.00044,-0.00049,0.13953,0.14183,-0.0023,-0.0006,-0.00089,-0.0017,,,-19.54,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,54.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0092,,,,,,,,,,,,,,,,,,,0.02477,0.02518,,,0,0,0,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,30960600.0,1515030.0,2392830.0,3096060000.0,4.89,7.37,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-06,0.12257,,,,,0.13994,0.14192,0.14298,0.14353,-0.00162,-0.00185,-0.00304,-0.0025,-0.0036,-0.00323,-0.00138,-0.00066,-0.00073,0.13625,0.14008,-0.00383,-0.00125,-0.00133,-0.00259,,,-15.97,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,53.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0056,,,,,,,,,,,,,,,,,,,0.0234,0.02438,,,0,0,0,0.0,-0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1515030.0,2392830.0,1250700.0,4.89,7.37,-85.21,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,-1250700,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-09,0.11799,,,0.11,,0.13763,0.14066,0.14233,0.1432,-0.00254,-0.00246,-0.0047,-0.00333,-0.00557,-0.00429,-0.00183,-0.00087,-0.00097,0.1322,0.13785,-0.00565,-0.00213,-0.00176,-0.00352,,,-12.7,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,52.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0083,,,,,,,,,,,,,,,,,,,0.02265,0.02358,,,0,0,0,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-08-09,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2392830.0,1250700.0,5471070.0,7.37,-85.21,76.69,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-5471070,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-10,0.11432,,,,0.111,0.13556,0.13949,0.1417,0.14288,-0.00339,-0.00307,-0.00614,-0.00414,-0.00731,-0.00535,-0.00228,-0.00107,-0.00121,0.1289,0.13584,-0.00694,-0.00309,-0.00218,-0.00385,,,-9.91,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,51.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,0.0009,0.0,,,,,,,,,,,,,,,,,,,0.02156,0.02279,,,0,0,0,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.11,0.0,0.0,2010-08-10,1999-01-01,1999-01-01,2010-08-09,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1250700.0,5471070.0,835560.0,-85.21,76.69,-17.09,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,835560,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-11,0.11161,,,0.104,,0.13317,0.13811,0.14096,0.14249,-0.00438,-0.00367,-0.0078,-0.00493,-0.00933,-0.00638,-0.00271,-0.00126,-0.00145,0.12513,0.13352,-0.00838,-0.00415,-0.00258,-0.00423,,,-7.72,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,50.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0064,,,,,,,,,,,,,10.60474,,,,,,0.02068,0.022,,,0,0,0,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.104,0.11,0.0,2010-08-10,1999-01-01,1999-01-01,2010-08-11,2010-08-09,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,5471070.0,835560.0,1649010.0,76.69,-17.09,5.27,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,p2n,n2p,p2n,,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-12,0.10984,,,,0.109,0.13131,0.13697,0.14033,0.14216,-0.00519,-0.00426,-0.00902,-0.00571,-0.01085,-0.0074,-0.00314,-0.00145,-0.00169,0.12265,0.1317,-0.00905,-0.00513,-0.00297,-0.00392,,,-6.23,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,49.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,0.0046,0.0,,,,,,,,,,,,,18.94058,,,,,,0.01967,0.02123,,,0,0,0,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.111,0.0,0.104,0.11,0.0,2010-08-12,2010-08-10,1999-01-01,2010-08-11,2010-08-09,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,835560.0,1649010.0,1173810.0,-17.09,5.27,-54.02,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1173810,,p2n,n2p,p2n,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-13,0.10893,,,,,0.12945,0.1358,0.13967,0.14181,-0.00601,-0.00485,-0.01023,-0.00648,-0.01237,-0.0084,-0.00355,-0.00162,-0.00192,0.12026,0.12988,-0.00962,-0.00603,-0.00334,-0.00359,,,-5.44,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,48.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0019,,,,,,,,,,,,,22.64643,17.39725,,,,,0.01866,0.02046,,,0,0,0,0.0,-0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.111,0.0,0.104,0.11,0.0,2010-08-12,2010-08-10,1999-01-01,2010-08-11,2010-08-09,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1649010.0,1173810.0,1262580.0,5.27,-54.02,11.67,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1262580,,,,n2p,p2n,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
2010-08-16,0.10867,,,0.106,,0.12766,0.13464,0.13901,0.14146,-0.00682,-0.00543,-0.01135,-0.00722,-0.0138,-0.00938,-0.00394,-0.00178,-0.00216,0.1181,0.12812,-0.01003,-0.00683,-0.00369,-0.0032,,,-5.22,5.83,-4.59,0.96,-5.71,1.01,-1.0,6.06,47.0,21.0,16.0,13.0,42.0,13.0,5.0,35.0,-0.0,-0.0009,,,,,,,,,,,,,33.70134,25.09611,,,,,0.01765,0.0197,,,0,0,0,0.0,0.0,0.0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.111,0.0,0.106,0.104,0.11,2010-08-12,2010-08-10,1999-01-01,2010-08-16,2010-08-11,2010-08-09,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1173810.0,1262580.0,871530.0,-54.02,11.67,-19.03,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,p2n,,p2n,n2p,,Life.Empty,Life.Empty,Life.Empty,Life.BullEnd,Life.Bear,,
