Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200
2010-05-10,SEB,0.7635,0.7723,0.6933,0.7109,0.7109,10390500,0.0,0,0.7109,0.7109,0.0,0.0,0.0,,,0.7109,0.7109,0.7109,0.7109,0.7085,,,,,,-16.3,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,28.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,10390500,0.0,0.0,1039050000.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,,,,,,,,0,0,0,,0,0,0
2010-05-11,SEB,0.7153,0.7196,0.6758,0.6758,0.6758,1479600,0.0,0,0.7055,0.7083,-0.0028,-0.00056,-0.00224,,,0.7082,0.70952,0.7102,0.71055,0.70341,,,,,,-15.7,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,27.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,-0.0,-0.0351,,,,,,,,,,,,,,,,-0.0103,-0.02,-0.0235,-0.0132,-0.0097,-0.0035,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,10390500,1479600,0.0,1039050000.0,14.24,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-12,SEB,0.6758,0.6845,0.6714,0.6714,0.6714,200700,0.0,0,0.70025,0.70557,-0.00531,-0.00151,-0.0038,,,0.70537,0.70803,0.70944,0.71016,0.69779,,,,0.671,,-15.02,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,26.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,-0.0,-0.0044,,,,,,,,,,,,,,,,-0.0213,-0.0407,-0.0479,-0.0266,-0.0194,-0.0072,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.671,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-05-12,1999-01-01,1999-01-01,10390500,1479600,200700,1039050000.0,14.24,1.69,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-13,SEB,0.667,0.6977,0.6494,0.6977,0.6977,915000,0.0,0,0.69986,0.70498,-0.00512,-0.00223,-0.00289,,,0.70478,0.70762,0.7092,0.71004,0.69178,,,,,0.698,-14.28,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,25.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,0.0263,0.0,,,,,,,,,,,,,,,,-0.0242,-0.0442,-0.0526,-0.0284,-0.02,-0.0084,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.698,0.0,0.0,0.671,0.0,0.0,2010-05-13,1999-01-01,1999-01-01,2010-05-12,1999-01-01,1999-01-01,1479600,200700,915000,14.24,1.69,-78.5,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,915000.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-14,SEB,0.6758,0.7065,0.6758,0.6933,0.6933,1055500,0.0,0,0.69885,0.70412,-0.00527,-0.00284,-0.00243,-0.005,,0.7039,0.70706,0.70889,0.70987,0.68526,,,,0.693,,-13.46,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,24.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,-0.0,-0.0044,,,,,,,,,,,,,,,,-0.0281,-0.0499,-0.0597,-0.0316,-0.0218,-0.0098,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.698,0.0,0.0,0.693,0.671,0.0,2010-05-13,1999-01-01,1999-01-01,2010-05-14,2010-05-12,1999-01-01,200700,915000,1055500,1.69,-78.5,-16.34,1,0,0,0,0,0.0,0.0,0.0,-0.005,100.0,100.0,0.0,0.0,0.0,-0.00284,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-05-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-17,SEB,0.667,0.7196,0.667,0.7109,0.7109,1048400,0.0,0,0.70071,0.70462,-0.00392,-0.00305,-0.00086,,,0.70444,0.70721,0.70893,0.70988,0.67797,,,,,0.711,-12.53,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,23.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,0.0176,0.0,,,,,,,,,,,,,,,,-0.0267,-0.0449,-0.0544,-0.0277,-0.0182,-0.0095,1,0,1,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.711,0.698,0.0,0.693,0.671,0.0,2010-05-17,2010-05-13,1999-01-01,2010-05-14,2010-05-12,1999-01-01,915000,1055500,1048400,-78.5,-16.34,39.04,1,0,0,0,0,0.0,0.0,0.0,-0.005,100.0,100.0,0.0,0.0,0.0,-0.00284,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-05-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048400.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-18,SEB,0.7021,0.7021,0.6845,0.7021,0.7021,198300,0.0,0,0.70092,0.70443,-0.00351,-0.00315,-0.00037,,-0.004,0.70426,0.70701,0.70879,0.7098,0.66974,,,,,,-11.46,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,22.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,-0.0,-0.0088,,,,,,,,,,,,66.13272,,,,-0.0279,-0.0453,-0.0554,-0.0275,-0.0174,-0.0101,1,0,1,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.711,0.698,0.0,0.693,0.671,0.0,2010-05-17,2010-05-13,1999-01-01,2010-05-14,2010-05-12,1999-01-01,1055500,1048400,198300,-16.34,39.04,-23.74,0,0,1,0,0,-0.004,0.0,0.0,-0.005,100.0,100.0,-0.00315,0.0,0.0,-0.00284,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-05-18,1999-01-01,1999-01-01,2010-05-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-198300.0,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-19,SEB,0.6758,0.6758,0.6538,0.6538,0.6538,726900,0.0,0,0.69367,0.70068,-0.00701,-0.00392,-0.00309,,,0.70037,0.70493,0.7077,0.70925,0.66042,,,,,,-10.21,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,21.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,-0.0,-0.0483,,,,,,,,,,,,56.31529,,,,-0.0432,-0.0733,-0.0888,-0.0456,-0.0301,-0.0155,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.711,0.698,0.0,0.693,0.671,0.0,2010-05-17,2010-05-13,1999-01-01,2010-05-14,2010-05-12,1999-01-01,1048400,198300,726900,39.04,-23.74,-14.27,0,0,1,0,0,-0.004,0.0,0.0,-0.005,100.0,100.0,-0.00315,0.0,0.0,-0.00284,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-05-18,1999-01-01,1999-01-01,2010-05-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-20,SEB,0.6582,0.6582,0.6319,0.6319,0.6319,300300,0.0,0,0.68417,0.69559,-0.01142,-0.00542,-0.006,,,0.69511,0.70206,0.7062,0.70848,0.6502,,,,0.632,,-8.8,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,20.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,-0.0,-0.0219,,,,,,,,,,,,27.11301,49.85367,,,-0.0642,-0.1109,-0.1337,-0.0695,-0.0467,-0.0228,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.711,0.698,0.0,0.632,0.693,0.671,2010-05-17,2010-05-13,1999-01-01,2010-05-20,2010-05-14,2010-05-12,198300,726900,300300,-23.74,-14.27,-37.91,0,0,1,0,0,-0.004,0.0,0.0,-0.005,100.0,100.0,-0.00315,0.0,0.0,-0.00284,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-05-18,1999-01-01,1999-01-01,2010-05-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
2010-05-21,SEB,0.6231,0.6407,0.6012,0.6407,0.6407,628800,0.0,0,0.67748,0.69152,-0.01404,-0.00714,-0.0069,,,0.69092,0.69965,0.70491,0.7078,0.6395,,,,,,-7.27,0.17,-1.68,4.79,-1.47,2.16,-8.77,1.07,19.0,2.0,8.0,18.0,11.0,7.0,14.0,9.0,0.0088,0.0,,,,,,,,,,,,13.20976,32.21269,13.21,,-0.0815,-0.1399,-0.1688,-0.0873,-0.0584,-0.0289,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.711,0.698,0.0,0.632,0.693,0.671,2010-05-17,2010-05-13,1999-01-01,2010-05-20,2010-05-14,2010-05-12,726900,300300,628800,-14.27,-37.91,35.13,0,0,1,0,0,-0.004,0.0,0.0,-0.005,100.0,100.0,-0.00315,0.0,0.0,-0.00284,100.0,100.0,0.0,0.0,0.0,13.21,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-05-18,1999-01-01,1999-01-01,2010-05-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2010-05-21,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628800.0,,,,,p2n,n2p,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0,0,0,,0,0,0
