Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2011-07-01,1.61115,,,,,1.61,1.61,1.61,1.61,1.61,1.61,0.0,0.0,0.0,,,0.24,-1.36,0.75,-0.69,0.06,-1.07,0.06,-9.82,3.0,9.0,8.0,8.0,4.0,8.0,6.0,19.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,59465800,0.0,0.0,5946580000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2011-07-04,1.6132,,,1.582,,1.60784,1.6089,1.60944,1.60972,1.60568,1.60792,-0.00224,-0.00045,-0.00179,,,0.11,-1.36,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.0,9.0,8.0,8.0,4.0,8.0,6.0,19.0,-0.0,-0.0281,,,,,,,,,,,,,,,,-0.0082,-0.016,-0.0188,-0.0106,-0.0078,-0.0028,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,0.0,0.0,0.0,1.582,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-07-04,1999-01-01,1999-01-01,0,59465800,6802200,0.0,5946580000.0,11.44,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2011-07-05,1.61453,,,,,1.608,1.60894,1.60945,1.60972,1.60634,1.60807,-0.00173,-0.0007,-0.00103,-0.002,,0.03,-1.36,0.75,-0.69,0.06,-1.07,0.06,-9.82,1.0,9.0,8.0,8.0,4.0,8.0,6.0,19.0,0.0281,0.0,,,,,,,,,,,,,,,,-0.0078,-0.0145,-0.0172,-0.0094,-0.0067,-0.0027,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,0.0,0.0,0.0,1.582,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-07-04,1999-01-01,1999-01-01,59465800,6802200,1733000,5946580000.0,11.44,2.62,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,0,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2011-07-06,1.61491,,1.615,,1.638,1.61032,1.61008,1.61002,1.61001,1.61123,1.6103,0.00093,-0.00038,0.00131,,,-1.36,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,9.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,0.0281,0.0,,,,,,,,,,,,,,,,0.0007,0.003,0.0031,0.0024,0.0023,0.0001,1,1,1,,0.15,,,,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.638,0.0,0.0,1.582,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,2011-07-04,1999-01-01,1999-01-01,6802200,1733000,12954100,11.44,2.62,-68.4,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,0,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,12954100.0,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2011-07-07,1.61423,,,,,1.61173,1.61081,1.61039,1.61019,1.61392,1.61166,0.00226,0.00015,0.00211,,,-1.32,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,8.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,-0.0,-0.0094,,,,,,,,,,,,,,,,0.0062,0.0134,0.0154,0.0092,0.0072,0.002,1,1,1,,0.15,,,,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.638,0.0,0.0,1.582,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,2011-07-04,1999-01-01,1999-01-01,1733000,12954100,11372200,2.62,-68.4,21.27,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,0,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-11372200.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2011-07-08,1.61255,,,,,1.61304,1.61152,1.61075,1.61038,1.61619,1.61292,0.00327,0.00077,0.0025,,,-1.21,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,7.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,0.0114,0.0229,0.0266,0.0152,0.0115,0.0037,1,1,1,,0.15,,,,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.638,0.0,0.0,1.582,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,2011-07-04,1999-01-01,1999-01-01,12954100,11372200,1032800,-68.4,21.27,-2.69,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,0,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2011-07-11,1.60994,,,,,1.61352,1.61182,1.61092,1.61046,1.61667,1.61339,0.00327,0.00127,0.002,,0.003,-1.05,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,6.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,-0.0,-0.0094,,,,,,,,,,,,49.58966,,,,0.0136,0.026,0.0306,0.017,0.0124,0.0046,1,1,1,,0.15,,,,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.638,0.0,0.0,1.582,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,2011-07-04,1999-01-01,1999-01-01,11372200,1032800,768400,21.27,-2.69,-48.05,0.003,0.0,0.0,-0.002,100.0,100.0,0.00127,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-07-11,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,4574,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,-768400.0,,,p2n,n2p,n2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,,
2011-07-12,1.60627,,,1.591,,1.61181,1.61102,1.61053,1.61027,1.61277,1.61176,0.00101,0.00122,-0.00021,,,-0.83,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,5.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,-0.0,-0.028,,,,,,,,,,,,42.4577,,,,0.0075,0.0128,0.0154,0.0079,0.0053,0.0026,0,0,0,,,,,0.15,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.638,0.0,0.0,1.591,1.582,0.0,2011-07-06,1999-01-01,1999-01-01,2011-07-12,2011-07-04,1999-01-01,1032800,768400,1859200,-2.69,-48.05,-72.21,0.003,0.0,0.0,-0.002,100.0,100.0,0.00127,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-07-11,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,4574,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,p2n,n2p,n2n,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,Life.BearStart,,
2011-07-13,1.60193,,,,1.61,1.61167,1.61098,1.61052,1.61027,1.61234,1.61163,0.00071,0.00112,-0.00041,,,-0.56,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,4.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,0.0187,0.0,,,,,,,,,,,,37.70306,43.25014,37.703,,0.0071,0.0115,0.014,0.0069,0.0044,0.0025,0,0,0,,,,,0.15,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.61,1.638,0.0,1.591,1.582,0.0,2011-07-13,2011-07-06,1999-01-01,2011-07-12,2011-07-04,1999-01-01,768400,1859200,1865700,-48.05,-72.21,22.75,0.003,0.0,0.0,-0.002,100.0,100.0,0.00127,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,37.703,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-07-11,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,4574,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,2011-07-13,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1865700.0,,,,,p2n,n2p,n2n,n2p,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,Life.BearStart,,
2011-07-14,1.59778,,,,,1.6101,1.61021,1.61014,1.61008,1.6091,1.61012,-0.00102,0.00069,-0.00171,,,-0.3,0.75,-0.69,0.06,-1.07,0.06,-9.82,2.39,3.0,8.0,8.0,4.0,8.0,6.0,19.0,10.0,-0.0,-0.0187,,,,,,,,,,,,40.51297,40.22457,,,0.0013,0.0011,0.0013,0.0,-0.0002,0.0002,0,0,0,,,,,0.15,,,,1.615,0.0,0.0,0.0,0.0,0.0,2011-07-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,1.61,1.638,0.0,1.591,1.582,0.0,2011-07-13,2011-07-06,1999-01-01,2011-07-12,2011-07-04,1999-01-01,1859200,1865700,553900,-72.21,22.75,-4.77,0.003,0.0,0.0,-0.002,100.0,100.0,0.00127,0.0,0.0,-0.0007,100.0,100.0,0.0,0.0,0.0,37.703,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-07-11,1999-01-01,1999-01-01,2011-07-05,1999-01-01,1999-01-01,4574,0,0,4568,0,0,1999-01-01,1999-01-01,1999-01-01,2011-07-13,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,p2n,n2p,n2n,n2p,Life.Empty,Life.BearStart,Life.Bear,Life.Bull,Life.BearStart,,
