Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2002-04-17,1.3087,,,,,1.3103,1.3103,1.3103,1.3103,1.3103,1.3103,0.0,0.0,0.0,,,-6.62,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,12.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,2607000,0.0,0.0,260700000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2002-04-18,1.30466,,,,1.375,1.31531,1.31285,1.31159,1.31095,1.32032,1.31512,0.00519,0.00104,0.00415,,,-6.34,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,11.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,0.0651,0.0,,,,,,,,,,,,,,,,0.019,0.0372,0.0436,0.0246,0.0182,0.0064,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.375,0.0,0.0,0.0,0.0,0.0,2002-04-18,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,2607000,4387000,0.0,260700000.0,168.28,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2002-04-19,1.29857,,,,,1.3168,1.31371,1.31205,1.31118,1.32253,1.31657,0.00596,0.00202,0.00393,,0.006,-5.9,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,10.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,-0.0,-0.0407,,,,,,,,,,,,,,,,0.0253,0.0475,0.0562,0.0309,0.0222,0.0087,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.375,0.0,0.0,0.0,0.0,0.0,2002-04-18,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2607000,4387000,1775000,260700000.0,168.28,25.38,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2002-04-22,1.28993,,,,,1.31505,1.31294,1.31169,1.31101,1.31814,1.3149,0.00324,0.00227,0.00097,,,-5.27,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,9.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,-0.0,-0.0407,,,,,,,,,,,,,,,,0.0193,0.0336,0.0404,0.0211,0.0143,0.0068,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.375,0.0,0.0,0.0,0.0,0.0,2002-04-18,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,4387000,1775000,1968000,168.28,25.38,-7.29,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2002-04-23,1.27858,,,1.27,,1.31155,1.31124,1.31086,1.3106,1.31067,1.31154,-0.00087,0.00164,-0.00251,,,-4.43,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,8.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,-0.0,-0.0244,,,,,,,,,,,,,,,,0.0064,0.0069,0.0095,0.0031,0.0005,0.0026,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.375,0.0,0.0,1.27,0.0,0.0,2002-04-18,1999-01-01,1999-01-01,2002-04-23,1999-01-01,1999-01-01,1775000,1968000,1238000,25.38,-7.29,-38.73,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,,
2002-04-24,1.26489,,,,,1.30895,1.30992,1.3102,1.31027,1.3056,1.30904,-0.00344,0.00062,-0.00406,,,-3.39,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,7.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,0.0081,0.0,,,,,,,,,,,,,,,,-0.0035,-0.0125,-0.0132,-0.0097,-0.009,-0.0007,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.375,0.0,0.0,1.27,0.0,0.0,2002-04-18,1999-01-01,1999-01-01,2002-04-23,1999-01-01,1999-01-01,1968000,1238000,1544000,-7.29,-38.73,-4.64,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2002-04-26,1.25048,,,,1.286,1.30717,1.30898,1.30972,1.31003,1.30255,1.30732,-0.00476,-0.00045,-0.00431,,,-2.28,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,5.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,0.0081,0.0,,,,,,,,,,,,13.29554,,,,-0.0105,-0.0255,-0.0286,-0.0181,-0.015,-0.0031,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.286,1.375,0.0,1.27,0.0,0.0,2002-04-26,2002-04-18,1999-01-01,2002-04-23,1999-01-01,1999-01-01,1238000,1544000,1270000,-38.73,-4.64,-14.69,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2002-04-29,1.23785,,,1.18,,1.29738,1.30392,1.30715,1.30874,1.2837,1.29789,-0.01419,-0.0032,-0.01099,,,-1.28,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,4.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,-0.0,-0.1058,,,,,,,,,,,,12.82897,,12.829,,-0.0482,-0.0977,-0.1136,-0.0654,-0.0495,-0.0159,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.286,1.375,0.0,1.18,1.27,0.0,2002-04-26,2002-04-18,1999-01-01,2002-04-29,2002-04-23,1999-01-01,1544000,1270000,786000,-4.64,-14.69,-11.15,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,12.829,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,2002-04-29,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2002-04-30,1.22878,,,,1.213,1.29086,1.30034,1.30528,1.30778,1.27276,1.29157,-0.01881,-0.00632,-0.01249,,,-0.55,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,3.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,0.0326,0.0,,,,,,,,,,,,20.00667,15.37706,,20.007,-0.0744,-0.1442,-0.1692,-0.0948,-0.0698,-0.025,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.213,1.286,1.375,1.18,1.27,0.0,2002-04-30,2002-04-26,2002-04-18,2002-04-29,2002-04-23,1999-01-01,1270000,786000,255000,-14.69,-11.15,-35.81,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,20.007,0.0,0.0,12.829,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,2002-04-30,1999-01-01,1999-01-01,2002-04-29,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
2002-05-02,1.22383,,,1.18,,1.28233,1.29562,1.30279,1.30651,1.25849,1.2833,-0.02481,-0.01002,-0.01479,,,-0.15,0.57,-18.47,2.1,-33.43,11.31,-14.12,20.58,1.0,5.0,36.0,6.0,70.0,15.0,43.0,13.0,-0.0,-0.0326,,,,,,,,,,,,16.29791,16.37785,16.298,,-0.1089,-0.2046,-0.2418,-0.1329,-0.0957,-0.0372,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.213,1.286,1.375,1.18,1.18,1.27,2002-04-30,2002-04-26,2002-04-18,2002-05-02,2002-04-29,2002-04-23,786000,255000,294000,-11.15,-35.81,-42.23,0.006,0.0,0.0,100.0,100.0,100.0,0.00202,0.0,0.0,100.0,100.0,100.0,20.007,0.0,0.0,16.298,12.829,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2002-04-19,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1204,0,0,0,0,0,2002-04-30,1999-01-01,1999-01-01,2002-05-02,2002-04-29,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.BearStart,Life.Bull,Life.BearStart,Life.Bear,,
