Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2011-01-05,0.15504,,,,,0.155,0.155,0.155,0.155,0.155,0.155,0.0,0.0,0.0,,,-9.7,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,55.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,7500.0,0.0,0.0,750000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2011-01-06,0.15511,,,0.15,,0.15462,0.1548,0.1549,0.15495,0.15423,0.15463,-0.0004,-8e-05,-0.00032,,,-9.74,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,54.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0015,-0.0028,-0.0033,-0.0018,-0.0013,-0.0005,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.15,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-01-06,1999-01-01,1999-01-01,0.0,7500.0,1500.0,0.0,750000.0,20.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2011-01-11,0.15514,,,,,0.15464,0.15481,0.1549,0.15495,0.15435,0.15466,-0.00031,-0.00013,-0.00018,,,-9.76,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,51.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,0.005,0.0,,,,,,,,,,,,,,,,-0.0014,-0.0026,-0.0031,-0.0017,-0.0012,-0.0005,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.15,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2011-01-06,1999-01-01,1999-01-01,7500.0,1500.0,6000.0,750000.0,20.0,66.66,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,6000.0,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2011-01-12,0.15513,,,,0.155,0.15467,0.15482,0.1549,0.15495,0.15445,0.15468,-0.00023,-0.00015,-9e-05,,,-9.75,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,50.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0013,-0.0023,-0.0028,-0.0015,-0.001,-0.0005,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.155,0.0,0.0,0.15,0.0,0.0,2011-01-12,1999-01-01,1999-01-01,2011-01-06,1999-01-01,1999-01-01,1500.0,6000.0,18000.0,20.0,66.66,70.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2011-02-07,0.15488,,,0.15,,0.15431,0.15463,0.15481,0.1549,0.15376,0.15434,-0.00057,-0.00023,-0.00034,-0.001,,-9.61,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,32.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0027,-0.005,-0.0059,-0.0032,-0.0023,-0.0009,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.155,0.0,0.0,0.15,0.15,0.0,2011-01-12,1999-01-01,1999-01-01,2011-02-07,2011-01-06,1999-01-01,6000.0,18000.0,1000.0,66.66,70.0,-1.96,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00023,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-02-07,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,-1000.0,,,,,p2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2011-02-09,0.1542,,,,0.165,0.15513,0.15504,0.15501,0.155,0.15549,0.15513,0.00037,-0.00011,0.00048,,,-9.21,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,30.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,0.015,0.0,,,,,,,,,,,,,,,,0.0004,0.0012,0.0013,0.0009,0.0008,0.0001,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.165,0.155,0.0,0.15,0.15,0.0,2011-02-09,2011-01-12,1999-01-01,2011-02-07,2011-01-06,1999-01-01,18000.0,1000.0,1500.0,70.0,-1.96,-18.0,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00023,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-02-07,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2p,p2n,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,Life.Bull,,
2011-02-18,0.15302,,,0.155,,0.15512,0.15504,0.15501,0.155,0.15542,0.15512,0.0003,-3e-05,0.00033,,,-8.51,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,23.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,-0.0,-0.01,,,,,,,,,,,,44.44444,,,,0.0004,0.0011,0.0012,0.0008,0.0007,0.0001,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.165,0.155,0.0,0.155,0.15,0.15,2011-02-09,2011-01-12,1999-01-01,2011-02-18,2011-02-07,2011-01-06,1000.0,1500.0,10000.0,-1.96,-18.0,-39.02,0.0,0.0,0.0,-0.001,100.0,100.0,0.0,0.0,0.0,-0.00023,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2011-02-07,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2p,p2n,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,Life.Bull,,
2011-02-21,0.15122,,,,0.16,0.1555,0.15523,0.15511,0.15505,0.15612,0.15548,0.00064,0.00011,0.00054,,0.001,-7.42,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,22.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,0.005,0.0,,,,,,,,,,,,66.66667,,,66.667,0.0018,0.0039,0.0045,0.0027,0.0021,0.0006,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.16,0.165,0.155,0.155,0.15,0.15,2011-02-21,2011-02-09,2011-01-12,2011-02-18,2011-02-07,2011-01-06,1500.0,10000.0,3000.0,-18.0,-39.02,16.0,0.001,0.0,0.0,-0.001,100.0,100.0,0.00011,0.0,0.0,-0.00023,100.0,100.0,66.667,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-02-21,1999-01-01,1999-01-01,2011-02-07,1999-01-01,1999-01-01,2011-02-21,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3000.0,,,,,,p2p,p2n,n2p,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,Life.Bull,,
2011-02-22,0.1488,,,,,0.15508,0.15502,0.15501,0.155,0.15518,0.15507,0.00011,0.00011,0.0,,,-5.91,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,21.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,-0.0,-0.01,,,,,,,,,,,,33.33333,48.14815,,,0.0002,0.0007,0.0008,0.0006,0.0005,0.0001,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.16,0.165,0.155,0.155,0.15,0.15,2011-02-21,2011-02-09,2011-01-12,2011-02-18,2011-02-07,2011-01-06,10000.0,3000.0,1500.0,-39.02,16.0,0.0,0.001,0.0,0.0,-0.001,100.0,100.0,0.00011,0.0,0.0,-0.00023,100.0,100.0,66.667,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-02-21,1999-01-01,1999-01-01,2011-02-07,1999-01-01,1999-01-01,2011-02-21,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,p2p,p2n,n2p,Life.Bear,Life.BearRecovery,Life.Bear,Life.Bull,Life.BearStart,,
2011-03-02,0.14602,,,,,0.15469,0.15483,0.15491,0.15495,0.15438,0.1547,-0.00031,2e-05,-0.00034,,,-4.12,42.86,-2.5,28.72,-29.08,11.8,-25.63,439.86,15.0,60.0,7.0,18.0,17.0,32.0,24.0,48.0,0.0,0.0,,,,,,,,,,,,22.22222,40.74074,,,-0.0012,-0.0022,-0.0026,-0.0014,-0.001,-0.0004,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.16,0.165,0.155,0.155,0.15,0.15,2011-02-21,2011-02-09,2011-01-12,2011-02-18,2011-02-07,2011-01-06,3000.0,1500.0,6000.0,16.0,0.0,-27.58,0.001,0.0,0.0,-0.001,100.0,100.0,0.00011,0.0,0.0,-0.00023,100.0,100.0,66.667,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2011-02-21,1999-01-01,1999-01-01,2011-02-07,1999-01-01,1999-01-01,2011-02-21,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,p2p,p2n,n2p,Life.BearRecovery,Life.Bear,Life.Bull,Life.BearStart,Life.Bear,,
