Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2010-04-15,0.28497,,,,,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.0,0.0,0.0,,,-21.04,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,44.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,5790225.0,0.0,0.0,579022500.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2010-04-16,0.28352,,,,,0.28539,0.28554,0.28562,0.28566,0.28508,0.2854,-0.00032,-6e-05,-0.00026,,,-20.64,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,43.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,-0.0,-0.004,,,,,,,,,,,,,,,,-0.0012,-0.0023,-0.0027,-0.0015,-0.0011,-0.0004,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,5790225.0,887100.0,0.0,579022500.0,15.32,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2010-04-19,0.28214,,,,,0.28449,0.28507,0.28538,0.28554,0.28332,0.28453,-0.00121,-0.00029,-0.00092,,,-20.25,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,42.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,-0.0,-0.0081,,,,,,,,,,,,,,,,-0.0047,-0.0089,-0.0105,-0.0058,-0.0042,-0.0016,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,5790225.0,887100.0,370500.0,579022500.0,15.32,5.55,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2010-04-20,0.28095,,,,,0.28365,0.28462,0.28515,0.28542,0.28182,0.28372,-0.0019,-0.00061,-0.00128,,,-19.91,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,41.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,-0.008,-0.015,-0.0177,-0.0097,-0.007,-0.0027,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,887100.0,370500.0,342900.0,15.32,5.55,-77.29,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,342900.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2010-04-21,0.27996,,,0.274,,0.28287,0.28419,0.28492,0.2853,0.28056,0.28297,-0.00241,-0.00097,-0.00144,-0.002,,-19.63,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,40.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0111,-0.0205,-0.0243,-0.0132,-0.0094,-0.0038,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.274,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,370500.0,342900.0,689850.0,5.55,-77.29,-12.32,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.00097,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,0,0,0,4128,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2010-04-22,0.27902,,,,0.292,0.28356,0.28449,0.28506,0.28537,0.28229,0.28362,-0.00134,-0.00105,-0.00029,,,-19.36,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,39.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,0.0182,0.0,,,,,,,,,,,,,,,,-0.0088,-0.015,-0.0181,-0.0093,-0.0062,-0.0031,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.292,0.0,0.0,0.274,0.0,0.0,2010-04-22,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,342900.0,689850.0,1675425.0,-77.29,-12.32,92.99,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.00097,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,0,0,0,4128,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1675425.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2010-04-23,0.27792,,,,,0.28403,0.2847,0.28515,0.28541,0.28343,0.28407,-0.00065,-0.00097,0.00032,,,-19.04,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,38.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,-0.0,-0.0021,,,,,,,,,,,,60.40072,,,,-0.0071,-0.0112,-0.0138,-0.0067,-0.0041,-0.0026,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.292,0.0,0.0,0.274,0.0,0.0,2010-04-22,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,689850.0,1675425.0,1093650.0,-12.32,92.99,27.72,0.0,0.0,0.0,-0.002,100.0,100.0,0.0,0.0,0.0,-0.00097,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,0,0,0,4128,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2010-04-26,0.27642,,,,,0.2837,0.2845,0.28504,0.28535,0.28285,0.28375,-0.0009,-0.00095,6e-05,,-0.001,-18.6,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,37.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,-0.0,-0.01,,,,,,,,,,,,69.03073,,,69.031,-0.0085,-0.0134,-0.0165,-0.008,-0.0049,-0.0031,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.292,0.0,0.0,0.274,0.0,0.0,2010-04-22,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,1675425.0,1093650.0,209850.0,92.99,27.72,-13.88,-0.001,0.0,0.0,-0.002,100.0,100.0,-0.00095,0.0,0.0,-0.00097,100.0,100.0,69.031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-04-26,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,4133,0,0,4128,0,0,2010-04-26,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,-209850.0,,,,p2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2010-04-27,0.27441,,,0.27,,0.28262,0.28391,0.28474,0.2852,0.28082,0.2827,-0.00189,-0.00114,-0.00075,,,-18.01,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,36.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,-0.0,-0.0101,,,,,,,,,,,,35.6974,55.04295,,,-0.0129,-0.0212,-0.0258,-0.0129,-0.0083,-0.0046,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.292,0.0,0.0,0.27,0.274,0.0,2010-04-22,1999-01-01,1999-01-01,2010-04-27,2010-04-21,1999-01-01,1093650.0,209850.0,281250.0,27.72,-13.88,-46.8,-0.001,0.0,0.0,-0.002,100.0,100.0,-0.00095,0.0,0.0,-0.00097,100.0,100.0,69.031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-04-26,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,4133,0,0,4128,0,0,2010-04-26,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
2010-04-28,0.27189,,,,0.272,0.28177,0.28343,0.28448,0.28506,0.2794,0.28188,-0.00248,-0.00141,-0.00107,,,-17.25,1.78,-0.87,3.52,-1.7,3.46,-2.09,0.85,35.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,0.002,0.0,,,,,,,,,,,,18.14971,40.95928,,,-0.0163,-0.0271,-0.0329,-0.0166,-0.0108,-0.0058,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.272,0.292,0.0,0.27,0.274,0.0,2010-04-28,2010-04-22,1999-01-01,2010-04-27,2010-04-21,1999-01-01,209850.0,281250.0,228675.0,-13.88,-46.8,-54.58,-0.001,0.0,0.0,-0.002,100.0,100.0,-0.00095,0.0,0.0,-0.00097,100.0,100.0,69.031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2010-04-26,1999-01-01,1999-01-01,2010-04-21,1999-01-01,1999-01-01,4133,0,0,4128,0,0,2010-04-26,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,p2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
