Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200
2005-01-13,ASDION,0.965,0.965,0.75,0.775,0.775,17313300,0,0,0.775,0.775,0.0,0.0,0.0,,,0.775,0.775,0.775,0.775,0.76699,,,,,,-7.17,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,7.0,23.0,69.0,17.0,25.0,21.0,105.0,15.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,17313300,0.0,0.0,1731330000.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-14,ASDION,0.79,0.79,0.695,0.715,0.715,2099400,0,0,0.76577,0.77056,-0.00479,-0.00096,-0.00383,,,0.77038,0.77265,0.77381,0.7744,0.75149,,,,,,-5.25,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,6.0,23.0,69.0,17.0,25.0,21.0,105.0,15.0,-0.0,-0.06,,,,,,,,,,,,,,,,-0.0175,-0.0343,-0.0402,-0.0227,-0.0168,-0.0059,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,17313300,2099400,0.0,1731330000.0,12.13,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-17,ASDION,0.7,0.715,0.7,0.71,0.71,940500,0,0,0.75719,0.76607,-0.00888,-0.00254,-0.00634,,,0.76574,0.77019,0.77255,0.77376,0.7375,,,,0.71,,-3.46,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,5.0,23.0,69.0,17.0,25.0,21.0,105.0,15.0,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0357,-0.0681,-0.0802,-0.0445,-0.0324,-0.0121,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.71,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-01-17,1999-01-01,1999-01-01,17313300,2099400,940500,1731330000.0,12.13,4.84,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-18,ASDION,0.71,0.74,0.7,0.72,0.72,871600,0,0,0.75147,0.76266,-0.01119,-0.00427,-0.00692,,,0.76222,0.76822,0.77151,0.77323,0.72594,,,,,0.72,-1.92,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,4.0,23.0,69.0,17.0,25.0,21.0,105.0,15.0,0.01,0.0,,,,,,,,,,,,,,,,-0.0501,-0.0929,-0.1101,-0.06,-0.0428,-0.0172,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.72,0.0,0.0,0.71,0.0,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-17,1999-01-01,1999-01-01,2099400,940500,871600,12.13,4.84,-80.78,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,871600.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-19,ASDION,0.71,0.715,0.695,0.705,0.705,1615500,0,0,0.74432,0.75839,-0.01407,-0.00623,-0.00784,,,0.75782,0.76574,0.77019,0.77255,0.71759,,,,,,-0.78,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,3.0,23.0,69.0,17.0,25.0,21.0,105.0,15.0,-0.0,-0.015,,,,,,,,,,,,,,,,-0.0681,-0.1237,-0.1473,-0.0792,-0.0556,-0.0236,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.72,0.0,0.0,0.71,0.0,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-17,1999-01-01,1999-01-01,940500,871600,1615500,4.84,-80.78,-12.37,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-20,ASDION,0.705,0.715,0.7,0.7,0.7,403900,0,0,0.7375,0.75406,-0.01656,-0.0083,-0.00826,,,0.75337,0.76316,0.7688,0.77183,0.71296,,,,,,-0.13,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,2.0,23.0,69.0,17.0,25.0,21.0,105.0,15.0,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0867,-0.1543,-0.1846,-0.0979,-0.0676,-0.0303,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.72,0.0,0.0,0.71,0.0,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-17,1999-01-01,1999-01-01,871600,1615500,403900,-80.78,-12.37,-15.66,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-24,ASDION,0.7,0.705,0.7,0.7,0.7,230000,0,0,0.73173,0.75006,-0.01833,-0.0103,-0.00802,,,0.74927,0.76069,0.76744,0.77111,0.71199,0.712,,,,,16.85,-16.95,1.3,-2.29,6.14,-15.01,15.4,-23.74,23.0,69.0,17.0,25.0,21.0,105.0,15.0,46.0,0.0,0.0,,,,,,,,,,,,6.69266,,,,-0.1042,-0.1817,-0.2184,-0.1142,-0.0775,-0.0367,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.712,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-01-24,1999-01-01,1999-01-01,0.72,0.0,0.0,0.71,0.0,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-17,1999-01-01,1999-01-01,1615500,403900,230000,-12.37,-15.66,-22.19,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-25,ASDION,0.705,0.705,0.7,0.7,0.7,384100,0,0,0.72685,0.74635,-0.0195,-0.01214,-0.00736,,,0.74548,0.75831,0.7661,0.7704,0.71413,,,-0.012,0.7,,16.51,-16.95,1.3,-2.29,6.14,-15.01,15.4,-23.74,22.0,69.0,17.0,25.0,21.0,105.0,15.0,46.0,0.0,0.0,,,,,,,,,,,,9.16179,,,,-0.1209,-0.2062,-0.2492,-0.1283,-0.0853,-0.043,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.712,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-01-24,1999-01-01,1999-01-01,0.72,0.0,0.0,0.7,0.71,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-25,2005-01-17,1999-01-01,403900,230000,384100,-15.66,-22.19,-54.74,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-26,ASDION,0.7,0.705,0.7,0.705,0.705,357300,0,0,0.72349,0.74329,-0.0198,-0.01367,-0.00612,,,0.74236,0.75622,0.76489,0.76975,0.71884,,,-0.007,,,15.74,-16.95,1.3,-2.29,6.14,-15.01,15.4,-23.74,21.0,69.0,17.0,25.0,21.0,105.0,15.0,46.0,0.005,0.0,,,,,,,,,,,,24.07407,13.30951,,,-0.1353,-0.2253,-0.2739,-0.1386,-0.09,-0.0486,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.712,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-01-24,1999-01-01,1999-01-01,0.72,0.0,0.0,0.7,0.71,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-25,2005-01-17,1999-01-01,230000,384100,357300,-22.19,-54.74,-4.58,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2005-01-27,ASDION,0.705,0.705,0.7,0.705,0.705,139900,0,0,0.72064,0.74045,-0.01981,-0.0149,-0.00491,-0.02,,0.73949,0.75421,0.76371,0.76911,0.72564,,,-0.007,,,14.66,-16.95,1.3,-2.29,6.14,-15.01,15.4,-23.74,20.0,69.0,17.0,25.0,21.0,105.0,15.0,46.0,0.0,0.0,,,,,,,,,,,,31.48148,21.57245,,,-0.149,-0.2422,-0.2962,-0.1472,-0.0932,-0.054,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.712,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2005-01-24,1999-01-01,1999-01-01,0.72,0.0,0.0,0.7,0.71,0.0,2005-01-18,1999-01-01,1999-01-01,2005-01-25,2005-01-17,1999-01-01,384100,357300,139900,-54.74,-4.58,-9.28,1,0,0,0,0,0.0,0.0,0.0,-0.02,100.0,100.0,0.0,0.0,0.0,-0.0149,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2005-01-27,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
