Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2001-05-24,1.15527,,,,,1.1601,1.1601,1.1601,1.1601,1.1601,1.1601,0.0,0.0,0.0,,,-3.23,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,11.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,17000,0.0,0.0,1700000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2001-05-25,1.14589,,,,,1.16068,1.16039,1.16025,1.16017,1.16125,1.16066,0.0006,0.00012,0.00048,,,-2.43,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,10.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,0.0075,0.0,,,,,,,,,,,,,,,,0.0022,0.0043,0.0051,0.0029,0.0021,0.0008,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,17000,10000,0.0,1700000.0,58.82,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2001-05-28,1.13725,,,,1.168,1.16121,1.16068,1.16039,1.16025,1.16223,1.16117,0.00106,0.00031,0.00075,,0.001,-1.69,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,9.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,0.0043,0.0082,0.0096,0.0053,0.0039,0.0014,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.168,0.0,0.0,0.0,0.0,0.0,2001-05-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,17000,10000,1000,1700000.0,58.82,3.7,0.001,0.0,0.0,100.0,100.0,100.0,0.00031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,878,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2001-05-29,1.12963,,,1.1,,1.15652,1.15831,1.1592,1.15965,1.1527,1.15666,-0.00396,-0.00055,-0.00341,,,-1.03,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,8.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,-0.0,-0.0673,,,,,,,,,,,,,,,,-0.0134,-0.0268,-0.0313,-0.0179,-0.0134,-0.0045,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.168,0.0,0.0,1.1,0.0,0.0,2001-05-28,1999-01-01,1999-01-01,2001-05-29,1999-01-01,1999-01-01,10000,1000,11000,58.82,3.7,-21.43,0.001,0.0,0.0,100.0,100.0,100.0,0.00031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,878,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2001-05-31,1.12356,,,,1.153,1.15623,1.15809,1.15908,1.15958,1.1527,1.15637,-0.00367,-0.00117,-0.0025,,,-0.49,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,6.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,0.0524,0.0,,,,,,,,,,,,,,,,-0.0149,-0.0285,-0.0335,-0.0186,-0.0136,-0.005,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.153,1.168,0.0,1.1,0.0,0.0,2001-05-31,2001-05-28,1999-01-01,2001-05-29,1999-01-01,1999-01-01,1000,11000,7000,3.7,-21.43,-13.64,0.001,0.0,0.0,100.0,100.0,100.0,0.00031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,878,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2001-06-05,1.11949,,,1.063,,1.14904,1.15435,1.15717,1.15862,1.13887,1.14944,-0.01057,-0.00305,-0.00752,,,-0.13,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,3.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,-0.0,-0.0899,,,,,,,,,,,,,,,,-0.0427,-0.0813,-0.0958,-0.0531,-0.0386,-0.0145,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.153,1.168,0.0,1.063,1.1,0.0,2001-05-31,2001-05-28,1999-01-01,2001-06-05,2001-05-29,1999-01-01,11000,7000,5000,-21.43,-13.64,21.05,0.001,0.0,0.0,100.0,100.0,100.0,0.00031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,878,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2001-06-07,1.11755,,,,,1.14299,1.15106,1.15545,1.15774,1.12832,1.14357,-0.01525,-0.00549,-0.00976,,,0.04,0.45,-2.4,12.5,-0.89,5.81,-18.56,14.81,1.0,4.0,11.0,26.0,5.0,13.0,18.0,28.0,0.0075,0.0,,,,,,,,,,,,21.83613,,,,-0.0668,-0.1246,-0.1475,-0.0807,-0.0578,-0.0229,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1.153,1.168,0.0,1.063,1.1,0.0,2001-05-31,2001-05-28,1999-01-01,2001-06-05,2001-05-29,1999-01-01,7000,5000,1000,-13.64,21.05,-43.48,0.001,0.0,0.0,100.0,100.0,100.0,0.00031,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,878,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1000.0,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2001-06-08,1.11761,1.118,,,,1.1397,1.14907,1.15436,1.15717,1.12401,1.14037,-0.01636,-0.00766,-0.0087,-0.016,,0.48,-2.4,12.5,-0.89,5.81,-18.56,14.81,-0.08,4.0,11.0,26.0,5.0,13.0,18.0,28.0,2.0,0.03,0.0,,,,,,,,,,,,16.28983,,16.29,,-0.081,-0.1466,-0.1747,-0.0937,-0.0656,-0.0281,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,1.118,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,1.153,1.168,0.0,1.063,1.1,0.0,2001-05-31,2001-05-28,1999-01-01,2001-06-05,2001-05-29,1999-01-01,5000,1000,3000,21.05,-43.48,-30.77,0.001,0.0,0.0,-0.016,100.0,100.0,0.00031,0.0,0.0,-0.00766,100.0,100.0,0.0,0.0,0.0,16.29,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,878,0,0,889,0,0,1999-01-01,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2001-06-11,1.11905,,,,,1.13839,1.14803,1.15373,1.15683,1.12381,1.13906,-0.01525,-0.00918,-0.00607,,,0.35,-2.4,12.5,-0.89,5.81,-18.56,14.81,-0.08,3.0,11.0,26.0,5.0,13.0,18.0,28.0,2.0,0.0224,0.0,,,,,,,,,,,,38.4997,25.54189,,,-0.088,-0.1534,-0.1844,-0.0964,-0.0654,-0.031,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,1.118,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,1.153,1.168,0.0,1.063,1.1,0.0,2001-05-31,2001-05-28,1999-01-01,2001-06-05,2001-05-29,1999-01-01,1000,3000,7000,-43.48,-30.77,22.22,0.001,0.0,0.0,-0.016,100.0,100.0,0.00031,0.0,0.0,-0.00766,100.0,100.0,0.0,0.0,0.0,16.29,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,878,0,0,889,0,0,1999-01-01,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7000.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2001-06-12,1.12102,,,,,1.13892,1.14792,1.15356,1.15671,1.1271,1.13952,-0.01242,-0.00983,-0.00259,,,0.18,-2.4,12.5,-0.89,5.81,-18.56,14.81,-0.08,2.0,11.0,26.0,5.0,13.0,18.0,28.0,2.0,0.0225,0.0,,,,,,,,,,,,64.34305,39.71086,,,-0.0879,-0.1464,-0.1779,-0.09,-0.0585,-0.0315,1,0,1,,,,,,-0.15,,,0.0,0.0,0.0,1.118,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,1.153,1.168,0.0,1.063,1.1,0.0,2001-05-31,2001-05-28,1999-01-01,2001-06-05,2001-05-29,1999-01-01,3000,7000,17000,-30.77,22.22,145.44,0.001,0.0,0.0,-0.016,100.0,100.0,0.00031,0.0,0.0,-0.00766,100.0,100.0,0.0,0.0,0.0,16.29,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2001-05-28,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,878,0,0,889,0,0,1999-01-01,1999-01-01,1999-01-01,2001-06-08,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,17000.0,,,,,p2n,n2p,p2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
